t 218Po 214Pb 214Bi 214Po 210Pb
0.0 100 0 0 0 0
0.1 98 2 0 0 0
0.2 96 4 0 0 0
0.3 92 8 0 0 0
0.4 91 9 0 0 0
0.5 89 11 0 0 0
0.6 86 14 0 0 0
0.7 83 17 0 0 0
0.8 83 17 0 0 0
0.9 83 17 0 0 0
1.0 81 19 0 0 0
1.1 78 22 0 0 0
1.2 75 25 0 0 0
1.3 75 25 0 0 0
1.4 72 28 0 0 0
1.5 70 30 0 0 0
1.6 69 31 0 0 0
1.7 69 31 0 0 0
1.8 68 32 0 0 0
1.9 67 33 0 0 0
2.0 64 36 0 0 0
2.1 60 40 0 0 0
2.2 59 41 0 0 0
2.3 56 44 0 0 0
2.4 56 44 0 0 0
2.5 56 44 0 0 0
2.6 53 47 0 0 0
2.7 52 48 0 0 0
2.8 51 49 0 0 0
2.9 49 51 0 0 0
3.0 49 50 1 0 0
3.1 48 51 1 0 0
3.2 47 51 2 0 0
3.3 45 53 2 0 0
3.4 45 53 2 0 0
3.5 45 53 2 0 0
3.6 44 54 2 0 0
3.7 43 55 2 0 0
3.8 41 57 2 0 0
3.9 41 57 2 0 0
4.0 38 59 3 0 0
4.1 36 61 3 0 0
4.2 34 63 3 0 0
4.3 32 65 3 0 0
4.4 32 65 3 0 0
4.5 32 65 3 0 0
4.6 32 64 4 0 0
4.7 32 64 4 0 0
4.8 32 64 4 0 0
4.9 32 64 4 0 0
5.0 31 65 4 0 0
5.1 31 65 4 0 0
5.2 31 65 4 0 0
5.3 30 66 4 0 0
5.4 29 67 4 0 0
5.5 29 67 4 0 0
5.6 28 68 4 0 0
5.7 26 69 5 0 0
5.8 26 69 5 0 0
5.9 26 69 5 0 0
6.0 26 69 5 0 0
6.1 26 69 5 0 0
6.2 24 71 5 0 0
6.3 23 72 5 0 0
6.4 23 72 5 0 0
6.5 23 71 6 0 0
6.6 22 72 5 0 1
6.7 22 72 5 0 1
6.8 22 72 5 0 1
6.9 22 72 5 0 1
7.0 21 73 5 0 1
7.1 20 74 5 0 1
7.2 20 74 5 0 1
7.3 19 74 6 0 1
7.4 19 74 6 0 1
7.5 19 74 6 0 1
7.6 18 75 6 0 1
7.7 18 75 6 0 1
7.8 16 76 7 0 1
7.9 16 76 7 0 1
8.0 16 76 7 0 1
8.1 16 76 7 0 1
8.2 15 77 7 0 1
8.3 15 77 7 0 1
8.4 15 77 6 0 2
8.5 15 77 6 0 2
8.6 15 77 6 0 2
8.7 14 78 6 0 2
8.8 14 78 6 0 2
8.9 13 79 6 0 2
9.0 13 79 6 0 2
9.1 13 79 6 0 2
9.2 13 79 6 0 2
9.3 12 79 7 0 2
9.4 12 79 7 0 2
9.5 12 78 8 0 2
9.6 12 77 9 0 2
9.7 12 77 9 0 2
9.8 12 77 9 0 2
9.9 12 77 9 0 2
10.0 12 77 9 0 2
10.1 12 77 9 0 2
10.2 12 77 9 0 2
10.3 11 78 9 0 2
10.4 10 79 9 0 2
10.5 10 79 9 0 2
10.6 10 79 9 0 2
10.7 10 79 9 0 2
10.8 9 80 9 0 2
10.9 9 80 9 0 2
11.0 9 80 9 0 2
11.1 9 80 9 0 2
11.2 9 80 9 0 2
11.3 9 80 9 0 2
11.4 9 80 9 0 2
