t 211Pb 211Bi 207Tl 207Pb
0.0 100 0 0 0
0.1 100 0 0 0
0.2 100 0 0 0
0.3 100 0 0 0
0.4 100 0 0 0
0.5 100 0 0 0
0.6 100 0 0 0
0.7 100 0 0 0
0.8 99 1 0 0
0.9 98 2 0 0
1.0 98 2 0 0
1.1 98 2 0 0
1.2 97 2 1 0
1.3 97 2 1 0
1.4 97 2 0 1
1.5 96 2 1 1
1.6 96 2 1 1
1.7 96 2 1 1
1.8 96 2 1 1
1.9 96 2 1 1
2.0 95 3 1 1
2.1 95 3 1 1
2.2 95 2 2 1
2.3 95 2 2 1
2.4 95 2 2 1
2.5 95 2 2 1
2.6 95 2 2 1
2.7 95 2 2 1
2.8 95 2 2 1
2.9 95 2 2 1
3.0 95 2 2 1
3.1 95 2 2 1
3.2 94 3 2 1
3.3 94 3 2 1
3.4 94 3 2 1
3.5 94 3 1 2
3.6 94 3 1 2
3.7 94 3 1 2
3.8 94 3 1 2
3.9 94 3 1 2
4.0 94 3 1 2
4.1 93 4 1 2
4.2 93 4 1 2
4.3 93 3 2 2
4.4 93 3 2 2
4.5 93 3 2 2
4.6 93 3 2 2
4.7 93 3 2 2
4.8 93 3 2 2
4.9 93 3 2 2
5.0 93 3 2 2
5.1 93 3 2 2
5.2 93 3 2 2
5.3 93 2 3 2
5.4 93 2 3 2
5.5 93 2 3 2
5.6 93 2 3 2
5.7 93 2 3 2
5.8 93 2 3 2
5.9 92 3 3 2
6.0 92 3 3 2
6.1 92 3 3 2
6.2 92 3 3 2
6.3 92 3 3 2
6.4 92 3 2 3
6.5 92 3 2 3
6.6 92 3 2 3
6.7 92 3 2 3
6.8 92 3 2 3
6.9 92 3 2 3
7.0 91 3 3 3
7.1 91 3 3 3
7.2 91 2 4 3
7.3 91 2 4 3
7.4 91 2 4 3
7.5 90 3 2 5
7.6 90 3 2 5
7.7 90 3 2 5
7.8 90 3 2 5
7.9 90 3 2 5
8.0 90 3 2 5
8.1 89 4 2 5
