t 218Po 214Pb 214Bi 214Po 210Pb
22.6 2 59 26 0 13
22.7 2 59 26 0 13
22.8 2 59 26 0 13
22.9 2 59 26 0 13
23.0 2 59 26 0 13
23.1 2 59 26 0 13
23.2 2 59 26 0 13
23.3 2 59 26 0 13
23.4 2 59 26 0 13
23.5 2 59 26 0 13
23.6 2 59 26 0 13
23.7 2 58 27 0 13
23.8 2 58 27 0 13
23.9 2 58 27 0 13
24.0 2 58 27 0 13
24.1 2 57 28 0 13
24.2 2 57 27 0 14
24.3 2 56 28 0 14
24.4 2 56 28 0 14
24.5 2 56 28 0 14
24.6 1 57 28 0 14
24.7 1 56 29 0 14
24.8 1 56 29 0 14
24.9 1 55 30 0 14
25.0 1 55 30 0 14
25.1 1 55 30 0 14
25.2 1 55 29 0 15
25.3 1 55 29 0 15
25.4 1 55 28 0 16
25.5 1 55 28 0 16
25.6 1 55 28 0 16
25.7 1 55 28 0 16
25.8 1 55 28 0 16
25.9 1 55 28 0 16
26.0 1 55 28 0 16
26.1 1 55 28 0 16
26.2 1 55 28 0 16
26.3 1 53 30 0 16
26.4 1 52 31 0 16
26.5 1 52 31 0 16
26.6 1 51 32 0 16
26.7 1 51 32 0 16
26.8 1 51 32 0 16
26.9 1 51 32 0 16
27.0 1 51 31 0 17
27.1 1 51 31 0 17
27.2 1 51 31 0 17
27.3 1 50 32 0 17
27.4 1 50 32 0 17
27.5 1 50 32 0 17
27.6 1 49 33 0 17
27.7 1 48 34 0 17
27.8 1 48 34 0 17
27.9 1 48 34 0 17
28.0 1 48 34 0 17
28.1 1 48 34 0 17
28.2 1 48 34 0 17
28.3 1 48 34 0 17
28.4 1 48 34 0 17
28.5 1 48 34 0 17
28.6 1 48 34 0 17
28.7 1 48 34 0 17
28.8 1 48 34 0 17
28.9 1 48 34 0 17
29.0 1 48 34 0 17
29.1 1 48 34 0 17
29.2 1 47 35 0 17
29.3 1 46 36 0 17
29.4 1 46 36 0 17
29.5 1 46 36 0 17
29.6 1 46 36 0 17
29.7 1 45 37 0 17
29.8 1 45 37 0 17
29.9 1 45 37 0 17
30.0 1 44 38 0 17
30.1 1 44 38 0 17
30.2 1 44 38 0 17
30.3 1 44 38 0 17
30.4 1 44 38 0 17
30.5 1 44 38 0 17
30.6 1 43 39 0 17
30.7 1 43 39 0 17
30.8 1 43 39 0 17
30.9 1 41 41 0 17
31.0 1 41 41 0 17
31.1 1 41 41 0 17
31.2 1 41 40 0 18
31.3 1 41 40 0 18
31.4 1 41 40 0 18
31.5 1 41 40 0 18
31.6 1 41 40 0 18
31.7 1 41 40 0 18
31.8 1 41 40 0 18
31.9 1 41 40 0 18
32.0 1 41 40 0 18
32.1 1 41 40 0 18
32.2 1 41 40 0 18
32.3 1 41 40 0 18
32.4 1 41 40 0 18
32.5 1 41 40 0 18
32.6 1 41 40 0 18
32.7 1 41 40 0 18
32.8 1 41 40 0 18
32.9 1 41 40 0 18
33.0 1 41 40 0 18
33.1 1 39 42 0 18
33.2 1 39 42 0 18
33.3 1 39 42 0 18
33.4 1 39 42 0 18
33.5 1 39 42 0 18
33.6 1 39 42 0 18
33.7 1 39 40 0 20
33.8 1 39 40 0 20
33.9 1 38 41 0 20
34.0 1 38 41 0 20
34.1 1 38 41 0 20
34.2 1 38 41 0 20
34.3 1 38 40 0 21
34.4 1 38 39 0 22
34.5 1 38 38 0 23
34.6 1 38 38 0 23
34.7 1 38 38 0 23
34.8 1 38 38 0 23
34.9 1 38 38 0 23
35.0 1 38 38 0 23
35.1 1 38 37 0 24
35.2 1 38 37 0 24
35.3 1 38 37 0 24
35.4 0 39 37 0 24
35.5 0 39 37 0 24
35.6 0 39 36 0 25
35.7 0 39 36 0 25
35.8 0 39 36 0 25
35.9 0 39 36 0 25
36.0 0 39 36 0 25
36.1 0 39 36 0 25
36.2 0 39 35 0 26
36.3 0 39 34 0 27
36.4 0 39 34 0 27
36.5 0 39 34 0 27
36.6 0 38 35 0 27
36.7 0 38 35 0 27
36.8 0 38 35 0 27
36.9 0 38 35 0 27
37.0 0 38 35 0 27
37.1 0 38 35 0 27
37.2 0 38 35 0 27
37.3 0 38 35 0 27
37.4 0 38 35 0 27
37.5 0 38 35 0 27
37.6 0 38 34 0 28
37.7 0 38 34 0 28
37.8 0 38 34 0 28
37.9 0 38 34 0 28
38.0 0 38 34 0 28
38.1 0 38 34 0 28
38.2 0 37 35 0 28
38.3 0 37 35 0 28
38.4 0 37 35 0 28
38.5 0 37 35 0 28
38.6 0 37 35 0 28
38.7 0 37 35 0 28
38.8 0 37 35 0 28
38.9 0 37 35 0 28
39.0 0 37 35 0 28
39.1 0 37 35 0 28
39.2 0 37 34 0 29
39.3 0 37 34 0 29
39.4 0 37 34 0 29
39.5 0 37 34 0 29
39.6 0 37 34 0 29
39.7 0 37 34 0 29
39.8 0 36 35 0 29
39.9 0 36 35 0 29
40.0 0 36 35 0 29
40.1 0 36 35 0 29
40.2 0 36 35 0 29
40.3 0 36 35 0 29
40.4 0 36 35 0 29
40.5 0 36 35 0 29
40.6 0 36 35 0 29
40.7 0 36 35 0 29
40.8 0 36 35 0 29
40.9 0 36 34 0 30
41.0 0 36 34 0 30
41.1 0 36 33 0 31
41.2 0 36 33 0 31
41.3 0 36 32 0 32
41.4 0 36 32 0 32
41.5 0 35 32 0 33
41.6 0 35 32 0 33
41.7 0 35 32 0 33
41.8 0 35 32 0 33
41.9 0 35 32 0 33
42.0 0 35 32 0 33
42.1 0 35 32 0 33
42.2 0 35 32 0 33
42.3 0 35 32 0 33
42.4 0 35 32 0 33
42.5 0 35 32 0 33
42.6 0 35 32 0 33
42.7 0 34 33 0 33
42.8 0 34 33 0 33
42.9 0 34 33 0 33
43.0 0 34 33 0 33
43.1 0 34 33 0 33
43.2 0 34 33 0 33
43.3 0 34 32 0 34
43.4 0 34 31 0 35
43.5 0 34 31 0 35
43.6 0 34 31 0 35
43.7 0 34 31 0 35
43.8 0 34 30 0 36
43.9 0 34 29 0 37
44.0 0 34 29 0 37
44.1 0 34 29 0 37
44.2 0 34 29 0 37
44.3 0 33 30 0 37
44.4 0 32 30 0 38
44.5 0 32 28 0 40
44.6 0 32 28 0 40
44.7 0 32 28 0 40
44.8 0 32 28 0 40
44.9 0 32 28 0 40
45.0 0 31 29 0 40
45.1 0 31 29 0 40
45.2 0 31 29 0 40
45.3 0 31 29 0 40
45.4 0 30 29 0 41
45.5 0 30 29 0 41
45.6 0 30 29 0 41
45.7 0 30 28 0 42
45.8 0 29 29 0 42
45.9 0 29 29 0 42
46.0 0 29 28 0 43
46.1 0 29 28 0 43
46.2 0 29 28 0 43
46.3 0 28 29 0 43
46.4 0 28 29 0 43
46.5 0 28 29 0 43
46.6 0 28 29 0 43
46.7 0 28 29 0 43
46.8 0 28 29 0 43
46.9 0 28 29 0 43
47.0 0 28 29 0 43
47.1 0 28 29 0 43
47.2 0 27 30 0 43
47.3 0 27 30 0 43
47.4 0 27 30 0 43
47.5 0 27 30 0 43
47.6 0 27 30 0 43
47.7 0 27 30 0 43
47.8 0 27 30 0 43
47.9 0 27 30 0 43
48.0 0 26 31 0 43
48.1 0 26 31 0 43
48.2 0 26 31 0 43
48.3 0 26 31 0 43
48.4 0 26 31 0 43
48.5 0 25 32 0 43
48.6 0 25 32 0 43
48.7 0 25 31 0 44
48.8 0 25 31 0 44
48.9 0 25 31 0 44
49.0 0 25 31 0 44
49.1 0 25 30 0 45
49.2 0 25 29 0 46
49.3 0 24 30 0 46
49.4 0 24 30 0 46
49.5 0 24 30 0 46
49.6 0 24 30 0 46
49.7 0 24 30 0 46
49.8 0 24 30 0 46
49.9 0 24 30 0 46
50.0 0 24 30 0 46
50.1 0 24 30 0 46
50.2 0 24 30 0 46
50.3 0 24 30 0 46
50.4 0 24 30 0 46
50.5 0 24 30 0 46
50.6 0 24 30 0 46
50.7 0 24 30 0 46
50.8 0 23 31 0 46
50.9 0 23 31 0 46
51.0 0 23 31 0 46
51.1 0 22 32 0 46
51.2 0 22 32 0 46
51.3 0 22 32 0 46
51.4 0 22 32 0 46
51.5 0 22 32 0 46
51.6 0 22 32 0 46
51.7 0 22 32 0 46
51.8 0 22 32 0 46
51.9 0 22 32 0 46
52.0 0 22 32 0 46
52.1 0 22 32 0 46
52.2 0 22 32 0 46
52.3 0 22 32 0 46
52.4 0 22 32 0 46
52.5 0 22 32 0 46
52.6 0 22 32 0 46
52.7 0 22 32 0 46
52.8 0 22 31 0 47
52.9 0 22 30 0 48
53.0 0 22 30 0 48
53.1 0 22 30 0 48
53.2 0 22 30 0 48
53.3 0 22 29 0 49
53.4 0 22 29 0 49
53.5 0 22 28 0 50
53.6 0 22 28 0 50
53.7 0 22 27 0 51
53.8 0 22 27 0 51
53.9 0 21 27 0 52
54.0 0 21 27 0 52
54.1 0 21 27 0 52
54.2 0 21 27 0 52
54.3 0 21 27 0 52
54.4 0 21 27 0 52
54.5 0 21 27 0 52
54.6 0 21 27 0 52
54.7 0 21 27 0 52
54.8 0 21 26 0 53
54.9 0 21 26 0 53
55.0 0 21 26 0 53
55.1 0 21 26 0 53
55.2 0 21 26 0 53
55.3 0 21 26 0 53
55.4 0 21 26 0 53
55.5 0 21 26 0 53
55.6 0 21 25 0 54
55.7 0 21 25 0 54
55.8 0 21 25 0 54
55.9 0 21 25 0 54
56.0 0 20 26 0 54
56.1 0 20 26 0 54
56.2 0 19 27 0 54
56.3 0 19 26 0 55
56.4 0 19 26 0 55
56.5 0 19 26 0 55
56.6 0 19 26 0 55
56.7 0 19 26 0 55
56.8 0 19 26 0 55
56.9 0 19 25 0 56
57.0 0 19 25 0 56
57.1 0 19 25 0 56
57.2 0 19 25 0 56
57.3 0 19 24 0 57
57.4 0 19 24 0 57
57.5 0 19 24 0 57
57.6 0 19 24 0 57
57.7 0 19 24 0 57
57.8 0 19 24 0 57
57.9 0 19 24 0 57
58.0 0 19 24 0 57
58.1 0 19 24 0 57
58.2 0 19 24 0 57
58.3 0 19 23 0 58
58.4 0 19 23 0 58
58.5 0 19 23 0 58
58.6 0 19 23 0 58
58.7 0 19 23 0 58
58.8 0 19 23 0 58
58.9 0 19 23 0 58
59.0 0 19 23 0 58
59.1 0 19 23 0 58
59.2 0 19 23 0 58
59.3 0 19 23 0 58
59.4 0 19 23 0 58
59.5 0 18 24 0 58
59.6 0 18 24 0 58
59.7 0 18 24 0 58
59.8 0 18 24 0 58
59.9 0 18 24 0 58
60.0 0 18 24 0 58
60.1 0 18 24 0 58
60.2 0 18 24 0 58
60.3 0 18 24 0 58
60.4 0 18 24 0 58
60.5 0 18 24 0 58
60.6 0 18 24 0 58
60.7 0 18 24 0 58
60.8 0 18 23 0 59
60.9 0 18 23 0 59
61.0 0 18 23 0 59
61.1 0 18 23 0 59
61.2 0 18 23 0 59
61.3 0 18 23 0 59
61.4 0 18 23 0 59
61.5 0 18 23 0 59
61.6 0 18 23 0 59
61.7 0 18 22 0 60
61.8 0 18 22 0 60
61.9 0 18 22 0 60
62.0 0 18 22 0 60
62.1 0 18 22 0 60
62.2 0 18 22 0 60
62.3 0 18 22 0 60
62.4 0 18 22 0 60
62.5 0 18 22 0 60
62.6 0 18 22 0 60
62.7 0 18 22 0 60
62.8 0 18 22 0 60
62.9 0 18 22 0 60
63.0 0 18 22 0 60
63.1 0 18 22 0 60
63.2 0 18 22 0 60
63.3 0 18 22 0 60
63.4 0 18 21 0 61
63.5 0 18 21 0 61
63.6 0 18 21 0 61
63.7 0 18 21 0 61
63.8 0 18 21 0 61
63.9 0 18 21 0 61
64.0 0 18 21 0 61
64.1 0 18 21 0 61
64.2 0 18 21 0 61
64.3 0 18 21 0 61
64.4 0 18 21 0 61
64.5 0 18 21 0 61
64.6 0 18 21 0 61
64.7 0 17 22 0 61
64.8 0 17 22 0 61
64.9 0 17 22 0 61
65.0 0 17 22 0 61
65.1 0 17 22 0 61
65.2 0 17 22 0 61
65.3 0 17 22 0 61
65.4 0 17 22 0 61
65.5 0 17 22 0 61
65.6 0 17 22 0 61
65.7 0 17 22 0 61
65.8 0 17 22 0 61
65.9 0 15 24 0 61
66.0 0 15 24 0 61
66.1 0 15 24 0 61
66.2 0 15 24 0 61
66.3 0 15 24 0 61
66.4 0 14 25 0 61
66.5 0 14 25 0 61
66.6 0 14 25 0 61
66.7 0 13 26 0 61
66.8 0 13 26 0 61
66.9 0 13 26 0 61
67.0 0 13 26 0 61
67.1 0 13 26 0 61
67.2 0 13 25 0 62
67.3 0 13 25 0 62
67.4 0 12 26 0 62
67.5 0 12 26 0 62
67.6 0 12 26 0 62
67.7 0 12 26 0 62
67.8 0 12 26 0 62
67.9 0 12 26 0 62
68.0 0 12 25 0 63
68.1 0 12 25 0 63
68.2 0 12 25 0 63
68.3 0 12 25 0 63
68.4 0 12 25 0 63
68.5 0 12 25 0 63
68.6 0 12 25 0 63
68.7 0 12 25 0 63
68.8 0 12 25 0 63
68.9 0 12 25 0 63
69.0 0 12 25 0 63
69.1 0 12 25 0 63
69.2 0 12 25 0 63
69.3 0 12 25 0 63
69.4 0 12 24 0 64
69.5 0 12 24 0 64
69.6 0 12 24 0 64
69.7 0 12 24 0 64
69.8 0 12 24 0 64
69.9 0 12 24 0 64
70.0 0 12 23 0 65
70.1 0 12 23 0 65
70.2 0 12 22 0 66
70.3 0 12 22 0 66
70.4 0 12 22 0 66
70.5 0 12 22 0 66
70.6 0 12 21 0 67
70.7 0 11 21 0 68
70.8 0 11 20 0 69
70.9 0 11 20 0 69
71.0 0 11 19 0 70
71.1 0 11 19 0 70
71.2 0 11 19 0 70
71.3 0 11 19 0 70
71.4 0 11 19 0 70
71.5 0 11 19 0 70
71.6 0 11 19 0 70
71.7 0 11 19 0 70
71.8 0 11 19 0 70
71.9 0 11 19 0 70
72.0 0 11 19 0 70
72.1 0 10 20 0 70
72.2 0 10 20 0 70
72.3 0 10 19 0 71
72.4 0 10 19 0 71
72.5 0 10 19 0 71
72.6 0 9 20 0 71
72.7 0 9 20 0 71
72.8 0 9 20 0 71
72.9 0 9 20 0 71
73.0 0 9 20 0 71
73.1 0 9 20 0 71
73.2 0 9 20 0 71
73.3 0 9 20 0 71
73.4 0 9 20 0 71
73.5 0 9 20 0 71
73.6 0 9 20 0 71
73.7 0 9 20 0 71
73.8 0 9 20 0 71
73.9 0 9 20 0 71
74.0 0 9 20 0 71
74.1 0 9 20 0 71
74.2 0 9 20 0 71
74.3 0 9 20 0 71
74.4 0 9 20 0 71
74.5 0 9 20 0 71
74.6 0 9 20 0 71
74.7 0 9 20 0 71
74.8 0 9 20 0 71
74.9 0 9 20 0 71
75.0 0 9 20 0 71
75.1 0 9 20 0 71
75.2 0 9 20 0 71
75.3 0 9 19 0 72
75.4 0 9 19 0 72
75.5 0 9 19 0 72
75.6 0 9 19 0 72
75.7 0 9 19 0 72
75.8 0 9 19 0 72
75.9 0 9 19 0 72
76.0 0 9 19 0 72
76.1 0 9 19 0 72
76.2 0 9 19 0 72
76.3 0 8 20 0 72
76.4 0 8 20 0 72
76.5 0 8 20 0 72
76.6 0 8 19 0 73
76.7 0 8 19 0 73
76.8 0 8 19 0 73
76.9 0 8 19 0 73
77.0 0 8 19 0 73
77.1 0 8 19 0 73
77.2 0 8 19 0 73
77.3 0 8 19 0 73
77.4 0 8 19 0 73
77.5 0 8 18 0 74
77.6 0 8 18 0 74
77.7 0 8 18 0 74
77.8 0 8 18 0 74
77.9 0 8 18 0 74
78.0 0 8 18 0 74
78.1 0 8 18 0 74
78.2 0 8 18 0 74
78.3 0 8 18 0 74
78.4 0 8 18 0 74
78.5 0 8 18 0 74
78.6 0 8 18 0 74
78.7 0 8 18 0 74
78.8 0 8 18 0 74
78.9 0 8 17 0 75
79.0 0 8 17 0 75
79.1 0 8 17 0 75
79.2 0 8 17 0 75
79.3 0 8 17 0 75
79.4 0 8 17 0 75
79.5 0 8 17 0 75
79.6 0 8 17 0 75
79.7 0 8 17 0 75
79.8 0 8 17 0 75
79.9 0 8 17 0 75
80.0 0 8 17 0 75
80.1 0 8 17 0 75
80.2 0 8 17 0 75
80.3 0 8 17 0 75
80.4 0 8 17 0 75
80.5 0 8 17 0 75
80.6 0 8 17 0 75
80.7 0 8 17 0 75
80.8 0 8 17 0 75
80.9 0 8 17 0 75
81.0 0 8 17 0 75
81.1 0 8 17 0 75
81.2 0 8 17 0 75
81.3 0 8 17 0 75
81.4 0 8 17 0 75
81.5 0 8 17 0 75
81.6 0 8 17 0 75
81.7 0 8 17 0 75
81.8 0 8 17 0 75
81.9 0 8 17 0 75
82.0 0 8 17 0 75
82.1 0 8 17 0 75
82.2 0 8 17 0 75
82.3 0 8 17 0 75
82.4 0 8 17 0 75
82.5 0 8 17 0 75
82.6 0 8 17 0 75
82.7 0 8 17 0 75
82.8 0 8 17 0 75
82.9 0 8 17 0 75
83.0 0 7 18 0 75
83.1 0 7 18 0 75
83.2 0 7 18 0 75
83.3 0 7 17 0 76
83.4 0 7 17 0 76
83.5 0 7 17 0 76
83.6 0 7 17 0 76
83.7 0 7 17 0 76
83.8 0 7 17 0 76
83.9 0 7 17 0 76
84.0 0 7 17 0 76
84.1 0 7 17 0 76
84.2 0 7 17 0 76
84.3 0 7 17 0 76
84.4 0 7 17 0 76
84.5 0 7 17 0 76
84.6 0 7 17 0 76
84.7 0 6 18 0 76
84.8 0 6 18 0 76
84.9 0 6 18 0 76
85.0 0 6 18 0 76
85.1 0 6 18 0 76
85.2 0 6 18 0 76
85.3 0 6 18 0 76
85.4 0 6 18 0 76
85.5 0 6 18 0 76
85.6 0 6 18 0 76
85.7 0 6 17 0 77
85.8 0 5 18 0 77
85.9 0 5 18 0 77
86.0 0 5 18 0 77
86.1 0 5 18 0 77
86.2 0 5 18 0 77
86.3 0 5 18 0 77
86.4 0 5 18 0 77
86.5 0 5 18 0 77
86.6 0 5 18 0 77
86.7 0 5 18 0 77
86.8 0 5 18 0 77
86.9 0 5 17 0 78
87.0 0 5 17 0 78
87.1 0 5 17 0 78
87.2 0 5 17 0 78
87.3 0 5 17 0 78
87.4 0 5 17 0 78
87.5 0 5 17 0 78
87.6 0 5 17 0 78
87.7 0 5 17 0 78
87.8 0 5 17 0 78
87.9 0 5 17 0 78
88.0 0 5 16 0 79
88.1 0 5 16 0 79
88.2 0 5 16 0 79
88.3 0 5 16 0 79
88.4 0 5 16 0 79
88.5 0 5 16 0 79
88.6 0 5 16 0 79
88.7 0 5 16 0 79
88.8 0 5 16 0 79
88.9 0 5 16 0 79
89.0 0 5 16 0 79
89.1 0 5 16 0 79
89.2 0 5 16 0 79
89.3 0 5 16 0 79
89.4 0 5 15 0 80
89.5 0 5 15 0 80
89.6 0 5 15 0 80
89.7 0 5 15 0 80
89.8 0 5 15 0 80
89.9 0 5 15 0 80
90.0 0 5 15 0 80
90.1 0 5 15 0 80
90.2 0 5 15 0 80
90.3 0 5 15 0 80
90.4 0 5 15 0 80
90.5 0 5 15 0 80
90.6 0 5 15 0 80
90.7 0 5 15 0 80
90.8 0 5 15 0 80
90.9 0 5 15 0 80
91.0 0 5 15 0 80
91.1 0 5 15 0 80
91.2 0 5 15 0 80
91.3 0 5 15 0 80
91.4 0 5 15 0 80
91.5 0 5 15 0 80
91.6 0 5 15 0 80
91.7 0 5 15 0 80
91.8 0 5 15 0 80
91.9 0 5 15 0 80
92.0 0 5 15 0 80
92.1 0 5 15 0 80
92.2 0 5 15 0 80
92.3 0 5 15 0 80
92.4 0 5 15 0 80
92.5 0 5 15 0 80
92.6 0 5 15 0 80
92.7 0 5 15 0 80
92.8 0 5 15 0 80
92.9 0 5 15 0 80
93.0 0 5 15 0 80
93.1 0 5 15 0 80
93.2 0 5 15 0 80
93.3 0 5 14 0 81
93.4 0 5 14 0 81
93.5 0 5 14 0 81
93.6 0 5 14 0 81
93.7 0 4 15 0 81
93.8 0 4 15 0 81
93.9 0 4 15 0 81
94.0 0 4 15 0 81
94.1 0 4 15 0 81
94.2 0 4 15 0 81
94.3 0 4 15 0 81
94.4 0 4 15 0 81
94.5 0 4 15 0 81
94.6 0 4 15 0 81
94.7 0 4 15 0 81
94.8 0 4 15 0 81
94.9 0 4 15 0 81
95.0 0 4 15 0 81
95.1 0 4 15 0 81
95.2 0 4 15 0 81
95.3 0 4 15 0 81
95.4 0 4 15 0 81
95.5 0 4 15 0 81
95.6 0 4 15 0 81
95.7 0 4 15 0 81
95.8 0 4 15 0 81
95.9 0 4 15 0 81
96.0 0 4 15 0 81
96.1 0 4 15 0 81
96.2 0 4 15 0 81
96.3 0 4 15 0 81
96.4 0 4 15 0 81
96.5 0 4 15 0 81
96.6 0 4 15 0 81
96.7 0 4 15 0 81
96.8 0 4 14 0 82
96.9 0 4 14 0 82
97.0 0 4 14 0 82
97.1 0 4 14 0 82
97.2 0 4 14 0 82
97.3 0 4 14 0 82
97.4 0 4 14 0 82
97.5 0 4 13 0 83
97.6 0 4 13 0 83
97.7 0 4 13 0 83
97.8 0 4 13 0 83
97.9 0 4 13 0 83
98.0 0 4 13 0 83
98.1 0 4 12 0 84
98.2 0 4 12 0 84
98.3 0 4 12 0 84
98.4 0 4 11 0 85
98.5 0 4 11 0 85
98.6 0 4 11 0 85
98.7 0 4 11 0 85
98.8 0 4 11 0 85
98.9 0 4 11 0 85
99.0 0 4 11 0 85
99.1 0 4 11 0 85
99.2 0 4 11 0 85
99.3 0 4 11 0 85
99.4 0 4 11 0 85
99.5 0 4 11 0 85
