t 218Po 214Pb 214Bi 214Po 210Pb
0.0 100 0 0 0 0
0.1 99 1 0 0 0
0.2 97 3 0 0 0
0.3 94 6 0 0 0
0.4 91 9 0 0 0
0.5 89 11 0 0 0
0.6 87 13 0 0 0
0.7 82 17 1 0 0
0.8 79 20 1 0 0
0.9 77 22 1 0 0
1.0 75 24 1 0 0
1.1 71 28 1 0 0
1.2 68 31 1 0 0
1.3 67 32 1 0 0
1.4 65 33 2 0 0
1.5 65 32 3 0 0
1.6 64 33 3 0 0
1.7 64 33 3 0 0
1.8 64 33 3 0 0
1.9 63 34 3 0 0
2.0 63 34 3 0 0
2.1 61 36 3 0 0
2.2 59 37 4 0 0
2.3 59 37 4 0 0
2.4 57 39 4 0 0
2.5 56 39 5 0 0
2.6 56 39 5 0 0
2.7 56 39 5 0 0
2.8 56 39 5 0 0
2.9 54 41 5 0 0
3.0 53 42 5 0 0
3.1 52 43 5 0 0
3.2 50 45 5 0 0
3.3 49 46 5 0 0
3.4 49 46 5 0 0
3.5 46 49 5 0 0
3.6 44 51 5 0 0
3.7 43 52 5 0 0
3.8 41 54 5 0 0
3.9 39 56 5 0 0
4.0 39 56 5 0 0
4.1 37 57 6 0 0
4.2 36 58 6 0 0
4.3 36 57 7 0 0
4.4 35 58 7 0 0
4.5 35 58 7 0 0
4.6 34 59 7 0 0
4.7 34 59 7 0 0
4.8 34 59 7 0 0
4.9 32 61 7 0 0
5.0 31 62 7 0 0
5.1 30 63 7 0 0
5.2 30 63 7 0 0
5.3 29 64 7 0 0
5.4 27 66 7 0 0
5.5 25 68 7 0 0
5.6 25 68 7 0 0
5.7 24 69 7 0 0
5.8 23 70 7 0 0
5.9 23 70 7 0 0
6.0 23 68 9 0 0
6.1 22 69 9 0 0
6.2 22 69 9 0 0
6.3 22 68 10 0 0
6.4 21 69 10 0 0
6.5 21 69 10 0 0
6.6 20 70 10 0 0
6.7 20 70 10 0 0
6.8 19 71 10 0 0
6.9 19 71 10 0 0
7.0 19 71 10 0 0
7.1 18 72 10 0 0
7.2 17 73 10 0 0
7.3 16 74 10 0 0
7.4 16 74 10 0 0
7.5 15 75 10 0 0
7.6 14 76 10 0 0
7.7 14 76 10 0 0
7.8 13 77 10 0 0
7.9 13 77 10 0 0
8.0 12 78 10 0 0
8.1 12 78 10 0 0
8.2 12 78 10 0 0
8.3 11 79 10 0 0
8.4 11 79 10 0 0
8.5 11 79 10 0 0
8.6 11 79 10 0 0
8.7 11 79 10 0 0
8.8 11 79 10 0 0
8.9 11 79 10 0 0
9.0 11 79 10 0 0
9.1 10 80 9 0 1
9.2 10 80 9 0 1
9.3 10 80 9 0 1
9.4 10 80 9 0 1
9.5 10 80 9 0 1
9.6 10 80 9 0 1
9.7 10 80 9 0 1
9.8 10 80 9 0 1
9.9 10 80 9 0 1
10.0 8 82 9 0 1
10.1 8 82 9 0 1
10.2 8 82 9 0 1
10.3 8 81 10 0 1
10.4 8 81 10 0 1
10.5 8 81 10 0 1
10.6 8 81 10 0 1
10.7 8 80 11 0 1
10.8 8 80 11 0 1
10.9 8 80 11 0 1
11.0 8 80 11 0 1
11.1 8 80 11 0 1
11.2 8 80 11 0 1
11.3 8 80 11 0 1
11.4 8 80 11 0 1
11.5 8 80 11 0 1
11.6 8 79 12 0 1
11.7 8 79 12 0 1
11.8 8 79 12 0 1
11.9 8 79 12 0 1
12.0 8 79 12 0 1
12.1 8 79 12 0 1
12.2 8 79 12 0 1
12.3 8 79 12 0 1
12.4 8 79 12 0 1
12.5 8 79 12 0 1
12.6 8 79 10 0 3
12.7 8 79 10 0 3
12.8 8 78 11 0 3
12.9 8 77 12 0 3
13.0 8 76 13 0 3
13.1 8 76 13 0 3
13.2 8 76 13 0 3
13.3 8 76 13 0 3
13.4 8 76 13 0 3
13.5 8 76 13 0 3
