t 211Pb 211Bi 207Tl 207Pb
0.0 100 0 0 0
0.1 100 0 0 0
0.2 100 0 0 0
0.3 100 0 0 0
0.4 100 0 0 0
0.5 99 1 0 0
0.6 99 1 0 0
0.7 99 1 0 0
0.8 99 1 0 0
0.9 99 1 0 0
1.0 97 3 0 0
1.1 97 3 0 0
1.2 97 2 1 0
1.3 97 2 1 0
1.4 97 2 1 0
1.5 97 2 1 0
1.6 97 2 1 0
1.7 97 2 1 0
1.8 97 2 1 0
1.9 96 3 1 0
2.0 96 3 1 0
2.1 96 3 1 0
2.2 96 3 1 0
2.3 96 3 1 0
2.4 96 2 2 0
2.5 96 2 2 0
2.6 96 2 2 0
2.7 96 2 2 0
2.8 96 2 2 0
2.9 96 2 2 0
3.0 96 2 2 0
3.1 96 1 3 0
3.2 95 2 3 0
3.3 95 2 3 0
3.4 95 2 3 0
3.5 95 2 3 0
3.6 95 2 3 0
3.7 95 2 3 0
3.8 95 2 2 1
3.9 95 2 2 1
4.0 95 2 2 1
4.1 95 2 2 1
4.2 94 3 2 1
4.3 94 2 3 1
4.4 94 0 5 1
4.5 93 1 5 1
4.6 93 1 5 1
4.7 93 1 5 1
4.8 93 1 5 1
4.9 93 1 5 1
5.0 93 1 5 1
5.1 93 1 4 2
5.2 93 1 4 2
5.3 92 2 4 2
5.4 92 2 4 2
5.5 92 2 4 2
5.6 92 2 4 2
5.7 92 2 4 2
5.8 92 2 4 2
5.9 92 2 4 2
6.0 92 2 4 2
6.1 92 2 4 2
6.2 92 2 4 2
6.3 92 2 4 2
6.4 92 2 4 2
6.5 92 2 4 2
6.6 92 1 5 2
6.7 91 2 5 2
6.8 89 4 5 2
6.9 89 4 5 2
7.0 89 4 5 2
7.1 89 4 5 2
7.2 89 3 6 2
7.3 89 3 6 2
7.4 89 3 6 2
7.5 88 4 6 2
7.6 88 3 7 2
7.7 88 3 7 2
7.8 88 3 7 2
7.9 88 3 7 2
8.0 88 3 7 2
8.1 88 3 7 2
