t 211Pb 211Bi 207Tl 207Pb
26.4 68 6 6 20
26.5 67 5 8 20
26.6 67 5 8 20
26.7 67 4 8 21
26.8 67 4 8 21
26.9 67 4 8 21
27.0 67 4 8 21
27.1 67 4 7 22
27.2 67 4 6 23
27.3 66 5 6 23
27.4 66 5 6 23
27.5 66 5 6 23
27.6 64 7 6 23
27.7 64 6 7 23
27.8 63 7 7 23
27.9 63 7 7 23
28.0 63 7 7 23
28.1 63 7 7 23
28.2 62 8 7 23
28.3 62 8 7 23
28.4 62 8 7 23
28.5 62 7 8 23
28.6 61 8 8 23
28.7 61 8 8 23
28.8 61 6 10 23
28.9 61 6 9 24
29.0 61 6 9 24
29.1 60 7 9 24
29.2 60 7 8 25
29.3 60 7 8 25
29.4 60 7 8 25
29.5 60 7 8 25
29.6 60 7 8 25
29.7 60 7 8 25
29.8 60 6 9 25
29.9 60 4 11 25
30.0 60 4 11 25
30.1 60 3 12 25
30.2 60 3 11 26
30.3 60 3 11 26
30.4 60 3 11 26
30.5 60 3 11 26
30.6 60 3 11 26
30.7 60 2 12 26
30.8 60 2 12 26
30.9 60 2 12 26
31.0 60 2 12 26
31.1 60 2 12 26
31.2 60 2 12 26
31.3 60 2 11 27
31.4 60 2 10 28
31.5 60 2 9 29
31.6 60 2 9 29
31.7 60 2 9 29
31.8 60 2 9 29
31.9 59 3 9 29
32.0 59 3 9 29
32.1 59 2 10 29
32.2 59 2 10 29
32.3 59 1 11 29
32.4 59 1 11 29
32.5 59 1 11 29
32.6 59 1 11 29
32.7 59 1 10 30
32.8 59 1 10 30
32.9 57 3 10 30
33.0 57 3 10 30
33.1 57 3 10 30
33.2 57 2 10 31
33.3 57 2 10 31
33.4 57 2 10 31
33.5 57 2 9 32
33.6 56 3 9 32
33.7 56 3 9 32
33.8 56 3 9 32
33.9 56 3 9 32
34.0 56 3 9 32
34.1 56 3 9 32
34.2 56 3 9 32
34.3 55 3 10 32
34.4 55 2 11 32
34.5 55 2 10 33
34.6 55 2 10 33
34.7 55 1 11 33
34.8 55 1 11 33
34.9 55 1 11 33
35.0 55 1 11 33
35.1 55 1 10 34
35.2 55 1 10 34
35.3 55 1 10 34
35.4 55 1 10 34
35.5 55 1 9 35
35.6 55 1 9 35
35.7 55 1 9 35
35.8 55 1 9 35
35.9 55 1 9 35
36.0 55 1 9 35
36.1 55 1 9 35
36.2 55 1 8 36
36.3 55 1 8 36
36.4 55 1 8 36
36.5 55 1 8 36
36.6 55 1 8 36
36.7 55 1 8 36
36.8 55 1 8 36
36.9 55 1 8 36
37.0 55 1 8 36
37.1 55 1 8 36
37.2 55 1 8 36
37.3 55 1 8 36
37.4 55 1 8 36
37.5 55 1 8 36
37.6 54 2 8 36
37.7 54 2 8 36
37.8 54 2 8 36
37.9 54 2 7 37
38.0 54 2 6 38
38.1 54 2 6 38
38.2 54 2 6 38
38.3 54 2 6 38
38.4 53 3 6 38
38.5 53 3 6 38
38.6 52 3 7 38
38.7 52 3 7 38
38.8 52 3 7 38
38.9 52 3 7 38
39.0 52 3 7 38
39.1 52 3 7 38
39.2 52 3 7 38
39.3 52 3 7 38
39.4 52 3 7 38
39.5 51 4 7 38
39.6 51 4 7 38
39.7 51 4 7 38
39.8 51 4 6 39
39.9 51 4 5 40
40.0 49 6 5 40
40.1 49 6 5 40
40.2 49 6 5 40
40.3 49 6 5 40
40.4 49 6 5 40
40.5 49 6 5 40
40.6 49 6 5 40
40.7 49 6 5 40
40.8 49 6 5 40
40.9 49 6 5 40
41.0 49 6 5 40
41.1 49 6 5 40
41.2 49 6 5 40
41.3 49 6 5 40
41.4 49 6 5 40
41.5 49 6 5 40
41.6 49 6 5 40
41.7 49 6 5 40
41.8 49 6 5 40
41.9 48 6 6 40
42.0 47 7 6 40
42.1 47 7 6 40
42.2 47 7 6 40
42.3 47 7 6 40
42.4 46 8 6 40
42.5 46 8 6 40
42.6 46 8 6 40
42.7 46 8 6 40
