t 211Pb 211Bi 207Tl 207Pb
0.0 100 0 0 0
0.1 100 0 0 0
0.2 100 0 0 0
0.3 100 0 0 0
0.4 100 0 0 0
0.5 99 1 0 0
0.6 99 1 0 0
0.7 99 1 0 0
0.8 99 1 0 0
0.9 99 1 0 0
1.0 98 2 0 0
1.1 98 2 0 0
1.2 97 3 0 0
1.3 97 3 0 0
1.4 97 3 0 0
1.5 97 3 0 0
1.6 97 3 0 0
1.7 97 3 0 0
1.8 97 3 0 0
1.9 97 3 0 0
2.0 97 3 0 0
2.1 97 2 1 0
2.2 97 2 1 0
2.3 97 2 1 0
2.4 97 2 1 0
2.5 97 2 1 0
2.6 97 2 1 0
2.7 97 2 1 0
2.8 97 2 1 0
2.9 96 3 1 0
3.0 96 3 1 0
3.1 96 3 1 0
3.2 96 3 1 0
3.3 96 3 1 0
3.4 96 2 2 0
3.5 95 3 2 0
3.6 95 3 2 0
3.7 94 4 2 0
3.8 93 4 3 0
3.9 93 4 3 0
4.0 93 2 5 0
4.1 93 2 5 0
4.2 93 2 5 0
4.3 92 3 4 1
4.4 92 3 4 1
4.5 92 3 4 1
4.6 92 3 3 2
4.7 92 2 3 3
4.8 92 2 3 3
4.9 92 2 3 3
5.0 92 2 3 3
5.1 92 2 3 3
5.2 92 2 3 3
5.3 92 2 3 3
5.4 92 2 3 3
5.5 92 2 3 3
5.6 91 3 3 3
5.7 91 3 3 3
5.8 91 3 3 3
5.9 91 3 3 3
6.0 91 3 3 3
6.1 91 3 3 3
6.2 91 2 4 3
6.3 91 2 4 3
6.4 91 2 4 3
6.5 90 3 4 3
6.6 90 2 5 3
6.7 90 2 5 3
6.8 90 2 5 3
6.9 90 2 4 4
7.0 90 2 4 4
7.1 90 2 4 4
7.2 90 2 3 5
7.3 90 2 3 5
7.4 90 1 4 5
7.5 90 1 4 5
7.6 90 1 4 5
7.7 89 1 5 5
7.8 89 1 5 5
7.9 89 1 5 5
8.0 89 1 5 5
8.1 89 1 5 5
