t 218Po 214Pb 214Bi 214Po 210Pb
0.0 100 0 0 0 0
0.1 97 3 0 0 0
0.2 92 8 0 0 0
0.3 88 12 0 0 0
0.4 84 16 0 0 0
0.5 83 17 0 0 0
0.6 81 19 0 0 0
0.7 79 21 0 0 0
0.8 78 22 0 0 0
0.9 76 24 0 0 0
1.0 76 24 0 0 0
1.1 73 27 0 0 0
1.2 73 27 0 0 0
1.3 72 28 0 0 0
1.4 70 30 0 0 0
1.5 70 30 0 0 0
1.6 67 33 0 0 0
1.7 65 35 0 0 0
1.8 64 36 0 0 0
1.9 60 40 0 0 0
2.0 59 41 0 0 0
2.1 58 42 0 0 0
2.2 57 43 0 0 0
2.3 55 45 0 0 0
2.4 54 46 0 0 0
2.5 53 47 0 0 0
2.6 51 49 0 0 0
2.7 49 51 0 0 0
2.8 48 52 0 0 0
2.9 47 53 0 0 0
3.0 46 54 0 0 0
3.1 44 56 0 0 0
3.2 42 58 0 0 0
3.3 39 61 0 0 0
3.4 36 64 0 0 0
3.5 33 67 0 0 0
3.6 32 68 0 0 0
3.7 30 70 0 0 0
3.8 30 70 0 0 0
3.9 29 71 0 0 0
4.0 27 73 0 0 0
4.1 26 74 0 0 0
4.2 26 74 0 0 0
4.3 26 74 0 0 0
4.4 26 73 1 0 0
4.5 26 73 1 0 0
4.6 26 72 2 0 0
4.7 26 72 2 0 0
4.8 26 72 2 0 0
4.9 26 72 2 0 0
5.0 25 73 2 0 0
5.1 24 73 3 0 0
5.2 23 74 3 0 0
5.3 22 75 3 0 0
5.4 22 74 4 0 0
5.5 22 74 4 0 0
5.6 22 74 4 0 0
5.7 21 75 4 0 0
5.8 20 76 4 0 0
5.9 20 76 4 0 0
6.0 20 75 5 0 0
6.1 20 74 5 0 1
6.2 20 74 5 0 1
6.3 20 74 5 0 1
6.4 20 74 5 0 1
6.5 19 75 5 0 1
6.6 19 75 5 0 1
6.7 19 75 5 0 1
6.8 19 75 5 0 1
6.9 18 76 5 0 1
7.0 18 76 5 0 1
7.1 18 76 5 0 1
7.2 18 76 5 0 1
7.3 18 76 5 0 1
7.4 18 76 5 0 1
7.5 17 77 5 0 1
7.6 17 77 5 0 1
7.7 16 78 4 0 2
7.8 16 78 4 0 2
7.9 15 79 4 0 2
8.0 15 79 4 0 2
8.1 15 79 4 0 2
8.2 14 80 4 0 2
8.3 14 79 5 0 2
8.4 14 78 5 0 3
8.5 14 78 5 0 3
8.6 14 78 5 0 3
8.7 14 77 6 0 3
8.8 14 77 6 0 3
8.9 14 77 6 0 3
9.0 13 77 7 0 3
9.1 13 77 7 0 3
9.2 13 76 8 0 3
9.3 12 77 8 0 3
9.4 12 77 8 0 3
9.5 10 79 7 0 4
9.6 10 79 7 0 4
9.7 10 79 7 0 4
9.8 10 79 7 0 4
9.9 10 79 7 0 4
10.0 10 79 7 0 4
10.1 10 79 7 0 4
10.2 10 79 7 0 4
10.3 10 79 7 0 4
10.4 10 79 7 0 4
10.5 10 79 7 0 4
10.6 10 79 7 0 4
10.7 9 80 7 0 4
10.8 9 80 7 0 4
10.9 9 80 7 0 4
11.0 8 81 7 0 4
11.1 8 81 7 0 4
11.2 7 82 7 0 4
11.3 7 82 7 0 4
11.4 7 82 7 0 4
11.5 7 81 8 0 4
11.6 7 81 8 0 4
11.7 7 81 8 0 4
11.8 7 81 8 0 4
11.9 6 82 8 0 4
12.0 6 82 8 0 4
12.1 6 82 8 0 4
12.2 6 82 8 0 4
12.3 6 82 7 0 5
12.4 6 82 6 0 6
12.5 6 82 6 0 6
12.6 6 81 7 0 6
12.7 6 80 8 0 6
12.8 6 80 8 0 6
12.9 6 80 8 0 6
13.0 6 80 8 0 6
13.1 6 80 8 0 6
13.2 6 80 8 0 6
13.3 6 79 9 0 6
13.4 6 79 9 0 6
13.5 6 79 9 0 6
13.6 6 79 9 0 6
13.7 6 79 9 0 6
13.8 6 79 9 0 6
13.9 6 79 9 0 6
14.0 5 80 9 0 6
14.1 5 79 10 0 6
14.2 5 79 10 0 6
14.3 4 80 10 0 6
14.4 4 80 10 0 6
14.5 4 80 10 0 6
14.6 3 80 11 0 6
14.7 3 80 11 0 6
14.8 3 80 11 0 6
14.9 3 80 11 0 6
15.0 3 80 11 0 6
15.1 3 79 12 0 6
15.2 3 78 13 0 6
15.3 3 78 13 0 6
15.4 3 78 13 0 6
15.5 3 78 13 0 6
15.6 3 77 14 0 6
15.7 3 77 14 0 6
15.8 3 77 14 0 6
15.9 2 78 14 0 6
16.0 2 78 14 0 6
16.1 2 78 14 0 6
16.2 2 78 14 0 6
16.3 2 78 14 0 6
16.4 2 77 14 0 7
16.5 2 77 14 0 7
16.6 2 76 15 0 7
16.7 2 76 15 0 7
16.8 2 76 15 0 7
16.9 2 76 15 0 7
17.0 2 76 15 0 7
17.1 2 76 15 0 7
17.2 2 76 15 0 7
17.3 2 75 16 0 7
17.4 2 75 16 0 7
17.5 2 75 16 0 7
17.6 2 75 16 0 7
17.7 2 74 17 0 7
17.8 2 73 18 0 7
17.9 2 73 18 0 7
18.0 2 73 18 0 7
18.1 2 73 18 0 7
18.2 2 72 19 0 7
18.3 2 72 19 0 7
18.4 2 72 19 0 7
18.5 2 72 19 0 7
18.6 2 72 19 0 7
18.7 2 71 20 0 7
18.8 2 70 21 0 7
