t 211Pb 211Bi 207Tl 207Pb
0.0 100 0 0 0
0.0 100 0 0 0
0.0 100 0 0 0
0.0 100 0 0 0
0.1 100 0 0 0
0.1 100 0 0 0
0.1 100 0 0 0
0.1 100 0 0 0
0.2 100 0 0 0
0.2 100 0 0 0
0.2 100 0 0 0
0.2 100 0 0 0
0.3 100 0 0 0
0.3 100 0 0 0
0.3 100 0 0 0
0.3 100 0 0 0
0.4 100 0 0 0
0.4 100 0 0 0
0.4 100 0 0 0
0.4 100 0 0 0
0.5 100 0 0 0
0.5 100 0 0 0
0.5 100 0 0 0
0.5 100 0 0 0
0.6 100 0 0 0
0.6 100 0 0 0
0.6 100 0 0 0
0.6 100 0 0 0
0.7 100 0 0 0
0.7 100 0 0 0
0.7 100 0 0 0
0.7 100 0 0 0
0.8 100 0 0 0
0.8 100 0 0 0
0.8 100 0 0 0
0.8 100 0 0 0
0.9 100 0 0 0
0.9 100 0 0 0
0.9 100 0 0 0
0.9 100 0 0 0
1.0 100 0 0 0
1.0 100 0 0 0
1.0 100 0 0 0
1.0 100 0 0 0
1.1 100 0 0 0
1.1 100 0 0 0
1.1 100 0 0 0
1.1 100 0 0 0
1.2 100 0 0 0
1.2 100 0 0 0
1.2 100 0 0 0
1.2 100 0 0 0
1.3 100 0 0 0
1.3 100 0 0 0
1.3 100 0 0 0
1.3 100 0 0 0
1.4 100 0 0 0
1.4 100 0 0 0
1.4 99 1 0 0
1.4 99 1 0 0
1.5 99 1 0 0
1.5 99 1 0 0
1.5 99 1 0 0
1.5 99 1 0 0
1.6 99 1 0 0
1.6 99 1 0 0
1.6 99 1 0 0
1.6 99 1 0 0
1.7 99 1 0 0
1.7 99 1 0 0
1.7 99 1 0 0
1.7 99 1 0 0
1.8 99 1 0 0
1.8 99 1 0 0
1.8 98 2 0 0
1.8 98 2 0 0
1.9 97 3 0 0
1.9 97 3 0 0
1.9 97 3 0 0
1.9 97 3 0 0
2.0 97 3 0 0
2.0 97 3 0 0
2.0 97 3 0 0
2.0 97 3 0 0
2.1 97 3 0 0
2.1 97 3 0 0
2.1 97 3 0 0
2.1 97 3 0 0
2.2 97 3 0 0
2.2 97 3 0 0
2.2 97 3 0 0
2.2 97 3 0 0
2.3 97 3 0 0
2.3 97 3 0 0
2.3 97 3 0 0
2.3 97 3 0 0
2.4 97 3 0 0
2.4 97 3 0 0
2.4 97 3 0 0
2.4 97 3 0 0
2.5 97 3 0 0
2.5 97 3 0 0
2.5 97 2 1 0
2.5 97 2 1 0
2.6 97 2 1 0
2.6 97 2 1 0
2.6 96 3 1 0
2.6 96 3 1 0
2.7 96 3 1 0
2.7 96 3 1 0
2.7 96 3 1 0
2.7 96 3 1 0
2.8 96 3 1 0
2.8 96 3 1 0
2.8 96 3 1 0
2.8 96 3 1 0
2.9 96 3 1 0
2.9 96 3 1 0
2.9 96 3 1 0
2.9 96 3 1 0
3.0 96 3 1 0
3.0 96 3 1 0
3.0 96 3 1 0
3.0 96 3 0 1
3.1 96 3 0 1
3.1 96 3 0 1
3.1 96 3 0 1
3.1 95 4 0 1
3.2 95 4 0 1
3.2 95 4 0 1
3.2 95 4 0 1
3.2 95 4 0 1
3.3 95 4 0 1
3.3 95 4 0 1
3.3 95 4 0 1
3.3 95 4 0 1
3.4 95 4 0 1
3.4 95 4 0 1
3.4 95 4 0 1
3.4 95 4 0 1
3.5 95 4 0 1
3.5 95 4 0 1
3.5 95 4 0 1
3.5 95 4 0 1
3.6 94 5 0 1
3.6 94 5 0 1
3.6 94 5 0 1
3.6 94 5 0 1
3.7 94 5 0 1
3.7 94 5 0 1
3.7 94 5 0 1
3.7 94 5 0 1
3.8 94 5 0 1
3.8 94 5 0 1
3.8 94 5 0 1
3.8 94 5 0 1
3.9 94 5 0 1
3.9 94 5 0 1
3.9 94 5 0 1
3.9 94 5 0 1
4.0 94 5 0 1
4.0 94 5 0 1
4.0 94 5 0 1
4.0 94 5 0 1
4.1 94 5 0 1
4.1 94 5 0 1
4.1 94 5 0 1
4.1 94 5 0 1
4.2 94 5 0 1
4.2 94 5 0 1
4.2 94 5 0 1
4.2 94 5 0 1
4.3 94 5 0 1
4.3 94 5 0 1
4.3 94 5 0 1
4.3 94 5 0 1
4.4 94 5 0 1
4.4 94 5 0 1
4.4 94 5 0 1
4.4 94 5 0 1
4.5 93 6 0 1
4.5 93 5 1 1
4.5 93 5 1 1
4.5 93 5 1 1
4.6 93 5 1 1
4.6 93 5 1 1
4.6 93 5 1 1
4.6 93 5 1 1
4.7 93 5 1 1
