t 211Pb 211Bi 207Tl 207Pb
0.0 100 0 0 0
0.1 100 0 0 0
0.2 100 0 0 0
0.3 99 1 0 0
0.4 98 2 0 0
0.5 98 2 0 0
0.6 98 2 0 0
0.7 98 2 0 0
0.8 98 2 0 0
0.9 98 2 0 0
1.0 98 2 0 0
1.1 98 2 0 0
1.2 98 2 0 0
1.3 98 2 0 0
1.4 98 2 0 0
1.5 98 2 0 0
1.6 97 3 0 0
1.7 97 3 0 0
1.8 97 3 0 0
1.9 97 3 0 0
2.0 97 3 0 0
2.1 97 3 0 0
2.2 97 3 0 0
2.3 97 3 0 0
2.4 97 3 0 0
2.5 96 4 0 0
2.6 96 4 0 0
2.7 95 5 0 0
2.8 94 6 0 0
2.9 94 6 0 0
3.0 94 4 2 0
3.1 94 4 1 1
3.2 94 3 2 1
3.3 94 3 2 1
3.4 94 3 2 1
3.5 94 3 2 1
3.6 94 3 2 1
3.7 94 3 2 1
3.8 94 3 2 1
3.9 94 3 2 1
4.0 94 3 2 1
4.1 93 4 2 1
4.2 92 5 2 1
4.3 92 5 2 1
4.4 92 5 2 1
4.5 92 5 2 1
4.6 91 6 2 1
4.7 91 5 3 1
4.8 91 5 3 1
4.9 91 5 3 1
5.0 91 5 3 1
5.1 91 5 3 1
5.2 91 5 3 1
5.3 91 4 4 1
5.4 91 4 3 2
5.5 91 4 3 2
5.6 91 4 3 2
5.7 91 4 3 2
5.8 91 4 3 2
5.9 89 6 3 2
6.0 89 6 3 2
6.1 89 6 3 2
6.2 89 6 3 2
6.3 89 6 3 2
6.4 89 6 3 2
6.5 89 6 3 2
6.6 89 6 3 2
6.7 89 6 3 2
6.8 89 6 3 2
6.9 89 5 4 2
7.0 89 5 4 2
7.1 89 5 4 2
7.2 89 5 4 2
7.3 89 5 4 2
7.4 89 5 4 2
7.5 88 6 4 2
7.6 88 4 6 2
7.7 88 4 6 2
7.8 88 4 5 3
7.9 86 5 6 3
8.0 86 5 6 3
8.1 86 5 6 3
