t 211Pb 211Bi 207Tl 207Pb
0.0 100 0 0 0
0.0 100 0 0 0
0.0 100 0 0 0
0.0 100 0 0 0
0.1 100 0 0 0
0.1 100 0 0 0
0.1 100 0 0 0
0.1 100 0 0 0
0.2 100 0 0 0
0.2 100 0 0 0
0.2 100 0 0 0
0.2 100 0 0 0
0.3 100 0 0 0
0.3 100 0 0 0
0.3 100 0 0 0
0.3 100 0 0 0
0.4 100 0 0 0
0.4 100 0 0 0
0.4 100 0 0 0
0.4 100 0 0 0
0.5 100 0 0 0
0.5 100 0 0 0
0.5 100 0 0 0
0.5 100 0 0 0
0.6 100 0 0 0
0.6 100 0 0 0
0.6 100 0 0 0
0.6 100 0 0 0
0.7 100 0 0 0
0.7 100 0 0 0
0.7 100 0 0 0
0.7 100 0 0 0
0.8 100 0 0 0
0.8 100 0 0 0
0.8 100 0 0 0
0.8 100 0 0 0
0.9 100 0 0 0
0.9 100 0 0 0
0.9 99 1 0 0
0.9 99 1 0 0
1.0 99 1 0 0
1.0 99 1 0 0
1.0 99 1 0 0
1.0 99 1 0 0
1.1 99 1 0 0
1.1 99 1 0 0
1.1 99 1 0 0
1.1 99 1 0 0
1.2 99 1 0 0
1.2 99 1 0 0
1.2 99 1 0 0
1.2 99 1 0 0
1.3 99 1 0 0
1.3 99 1 0 0
1.3 99 1 0 0
1.3 99 1 0 0
1.4 99 1 0 0
1.4 99 1 0 0
1.4 99 1 0 0
1.4 99 1 0 0
1.5 99 1 0 0
1.5 99 1 0 0
1.5 98 2 0 0
1.5 98 2 0 0
1.6 98 2 0 0
1.6 98 2 0 0
1.6 98 2 0 0
1.6 98 2 0 0
1.7 98 2 0 0
1.7 98 2 0 0
1.7 98 2 0 0
1.7 98 2 0 0
1.8 98 2 0 0
1.8 98 2 0 0
1.8 98 2 0 0
1.8 98 2 0 0
1.9 98 2 0 0
1.9 98 2 0 0
1.9 98 2 0 0
1.9 98 2 0 0
2.0 98 2 0 0
2.0 97 3 0 0
2.0 97 3 0 0
2.0 97 3 0 0
2.1 97 3 0 0
2.1 97 3 0 0
2.1 97 3 0 0
2.1 97 3 0 0
2.2 97 3 0 0
2.2 97 3 0 0
2.2 97 3 0 0
2.2 97 3 0 0
2.3 97 3 0 0
2.3 97 3 0 0
2.3 97 3 0 0
2.3 97 3 0 0
2.4 97 3 0 0
2.4 97 3 0 0
2.4 97 3 0 0
2.4 97 3 0 0
2.5 97 3 0 0
2.5 97 3 0 0
2.5 97 3 0 0
2.5 97 3 0 0
2.6 97 3 0 0
2.6 97 3 0 0
2.6 97 3 0 0
2.6 97 3 0 0
2.7 97 3 0 0
2.7 97 3 0 0
2.7 97 3 0 0
2.7 97 3 0 0
2.8 97 3 0 0
2.8 97 3 0 0
2.8 97 3 0 0
2.8 97 3 0 0
2.9 97 3 0 0
2.9 97 3 0 0
2.9 97 3 0 0
2.9 96 4 0 0
3.0 96 4 0 0
3.0 96 4 0 0
3.0 96 4 0 0
3.0 96 4 0 0
3.1 95 5 0 0
3.1 95 5 0 0
3.1 95 5 0 0
3.1 95 5 0 0
3.2 95 5 0 0
3.2 95 5 0 0
3.2 95 5 0 0
3.2 95 5 0 0
3.3 95 5 0 0
3.3 95 5 0 0
3.3 95 5 0 0
3.3 95 5 0 0
3.4 95 5 0 0
3.4 95 5 0 0
3.4 95 5 0 0
3.4 95 5 0 0
3.5 95 5 0 0
3.5 95 5 0 0
3.5 95 5 0 0
3.5 95 4 1 0
3.6 95 4 1 0
3.6 95 4 1 0
3.6 95 4 1 0
3.6 95 4 1 0
3.7 95 4 1 0
3.7 95 4 1 0
3.7 95 4 1 0
3.7 95 4 1 0
3.8 95 4 1 0
3.8 95 4 1 0
3.8 95 4 1 0
3.8 95 4 1 0
3.9 95 4 1 0
3.9 95 4 1 0
3.9 95 4 1 0
3.9 95 4 1 0
4.0 95 4 1 0
4.0 95 4 1 0
4.0 95 4 1 0
4.0 95 4 1 0
4.1 95 4 1 0
4.1 95 4 1 0
4.1 95 4 1 0
4.1 95 4 1 0
4.2 95 4 1 0
4.2 95 4 1 0
4.2 95 4 1 0
4.2 95 4 1 0
4.3 95 4 1 0
4.3 95 4 1 0
4.3 95 4 1 0
4.3 95 4 1 0
4.4 95 4 1 0
4.4 95 4 1 0
4.4 95 4 1 0
4.4 95 4 1 0
4.5 95 4 1 0
4.5 95 4 1 0
4.5 95 4 1 0
4.5 95 4 1 0
4.6 95 4 1 0
4.6 95 4 1 0
4.6 95 4 1 0
4.6 95 4 1 0
4.7 95 4 1 0
