t 218Po 214Pb 214Bi 214Po 210Pb
0.0 100 0 0 0 0
0.0 100 0 0 0 0
0.0 100 0 0 0 0
0.0 100 0 0 0 0
0.1 100 0 0 0 0
0.1 100 0 0 0 0
0.1 99 1 0 0 0
0.1 98 2 0 0 0
0.2 98 2 0 0 0
0.2 97 3 0 0 0
0.2 95 5 0 0 0
0.2 95 5 0 0 0
0.3 95 5 0 0 0
0.3 95 5 0 0 0
0.3 94 6 0 0 0
0.3 93 7 0 0 0
0.4 93 7 0 0 0
0.4 93 7 0 0 0
0.4 93 7 0 0 0
0.4 91 9 0 0 0
0.5 91 9 0 0 0
0.5 91 9 0 0 0
0.5 91 9 0 0 0
0.5 90 10 0 0 0
0.6 90 10 0 0 0
0.6 90 10 0 0 0
0.6 89 11 0 0 0
0.6 89 11 0 0 0
0.7 89 11 0 0 0
0.7 89 11 0 0 0
0.7 89 11 0 0 0
0.7 88 12 0 0 0
0.8 88 12 0 0 0
0.8 88 12 0 0 0
0.8 87 13 0 0 0
0.8 86 14 0 0 0
0.9 85 15 0 0 0
0.9 85 15 0 0 0
0.9 85 15 0 0 0
0.9 85 15 0 0 0
1.0 85 15 0 0 0
1.0 85 15 0 0 0
1.0 83 17 0 0 0
1.0 83 17 0 0 0
1.1 83 17 0 0 0
1.1 80 20 0 0 0
1.1 80 20 0 0 0
1.1 80 20 0 0 0
1.2 80 20 0 0 0
1.2 80 20 0 0 0
1.2 77 23 0 0 0
1.2 77 23 0 0 0
1.3 77 23 0 0 0
1.3 76 24 0 0 0
1.3 74 26 0 0 0
1.3 74 26 0 0 0
1.4 74 26 0 0 0
1.4 73 27 0 0 0
1.4 73 27 0 0 0
1.4 73 27 0 0 0
1.5 73 27 0 0 0
1.5 73 27 0 0 0
1.5 73 27 0 0 0
1.5 73 27 0 0 0
1.6 73 27 0 0 0
1.6 73 27 0 0 0
1.6 73 27 0 0 0
1.6 71 29 0 0 0
1.7 71 29 0 0 0
1.7 71 29 0 0 0
1.7 71 29 0 0 0
1.7 71 29 0 0 0
1.8 71 29 0 0 0
1.8 71 29 0 0 0
1.8 70 30 0 0 0
1.8 70 30 0 0 0
1.9 69 31 0 0 0
1.9 69 31 0 0 0
1.9 68 32 0 0 0
1.9 68 32 0 0 0
2.0 68 31 1 0 0
2.0 67 32 1 0 0
2.0 67 32 1 0 0
2.0 66 33 1 0 0
2.1 65 34 1 0 0
2.1 64 35 1 0 0
2.1 63 36 1 0 0
2.1 63 36 1 0 0
2.2 62 37 1 0 0
2.2 62 37 1 0 0
2.2 62 37 1 0 0
2.2 62 37 1 0 0
2.3 62 37 1 0 0
2.3 62 37 1 0 0
2.3 62 37 1 0 0
2.3 62 37 1 0 0
2.4 62 37 1 0 0
2.4 62 37 1 0 0
2.4 62 37 1 0 0
2.4 61 38 1 0 0
2.5 61 38 1 0 0
2.5 61 38 1 0 0
2.5 61 37 2 0 0
2.5 61 36 3 0 0
2.6 60 37 3 0 0
2.6 59 38 3 0 0
2.6 58 39 3 0 0
2.6 58 39 3 0 0
2.7 58 39 3 0 0
2.7 57 40 3 0 0
2.7 56 41 3 0 0
2.7 56 41 3 0 0
2.8 56 41 3 0 0
2.8 56 41 3 0 0
2.8 55 42 3 0 0
2.8 55 42 3 0 0
2.9 55 42 3 0 0
2.9 54 43 3 0 0
2.9 54 43 3 0 0
2.9 54 43 3 0 0
3.0 54 43 3 0 0
3.0 54 43 3 0 0
3.0 54 43 3 0 0
3.0 54 43 3 0 0
3.1 54 43 3 0 0
3.1 54 43 3 0 0
3.1 53 43 4 0 0
3.1 53 43 4 0 0
3.2 53 43 4 0 0
3.2 52 44 4 0 0
3.2 51 45 4 0 0
3.2 50 46 4 0 0
3.3 48 48 4 0 0
3.3 48 48 4 0 0
3.3 48 48 4 0 0
3.3 48 48 4 0 0
3.4 48 48 4 0 0
3.4 47 49 4 0 0
3.4 47 49 4 0 0
3.4 47 49 4 0 0
3.5 47 49 4 0 0
3.5 47 49 4 0 0
3.5 47 49 4 0 0
3.5 47 49 4 0 0
3.6 47 49 4 0 0
3.6 47 49 4 0 0
3.6 47 49 4 0 0
3.6 46 50 4 0 0
3.7 46 50 4 0 0
3.7 46 50 4 0 0
3.7 46 50 4 0 0
3.7 46 50 4 0 0
3.8 46 49 5 0 0
3.8 46 49 5 0 0
3.8 46 49 5 0 0
3.8 46 49 5 0 0
3.9 46 49 5 0 0
3.9 46 49 5 0 0
3.9 46 49 5 0 0
3.9 45 50 5 0 0
4.0 45 50 5 0 0
4.0 44 51 5 0 0
4.0 44 51 5 0 0
4.0 44 51 5 0 0
4.1 44 51 5 0 0
4.1 44 51 5 0 0
4.1 44 51 5 0 0
4.1 44 51 5 0 0
4.2 44 51 5 0 0
4.2 44 51 5 0 0
4.2 43 52 5 0 0
4.2 43 52 5 0 0
4.3 42 53 5 0 0
4.3 42 53 5 0 0
4.3 42 53 5 0 0
4.3 42 53 5 0 0
4.4 42 53 5 0 0
4.4 42 53 5 0 0
4.4 42 53 5 0 0
4.4 42 53 5 0 0
4.5 42 53 5 0 0
4.5 42 53 5 0 0
4.5 42 53 5 0 0
4.5 42 53 5 0 0
4.6 41 54 5 0 0
4.6 41 54 5 0 0
4.6 41 54 5 0 0
4.6 41 54 5 0 0
4.7 40 55 5 0 0
4.7 38 57 5 0 0
4.7 38 57 5 0 0
4.7 37 58 5 0 0
4.8 37 58 5 0 0
4.8 37 58 5 0 0
4.8 37 58 5 0 0
4.8 37 58 5 0 0
4.9 37 58 5 0 0
4.9 37 58 5 0 0
4.9 36 59 5 0 0
4.9 36 59 5 0 0
5.0 36 59 5 0 0
5.0 36 59 5 0 0
5.0 36 59 5 0 0
5.0 36 59 5 0 0
5.1 36 59 5 0 0
5.1 36 59 5 0 0
5.1 36 59 5 0 0
5.1 36 59 5 0 0
5.2 36 59 5 0 0
5.2 35 60 5 0 0
5.2 35 60 5 0 0
5.2 35 60 5 0 0
5.3 35 60 5 0 0
5.3 35 60 5 0 0
5.3 35 60 5 0 0
5.3 35 60 5 0 0
5.4 35 60 5 0 0
5.4 35 60 5 0 0
5.4 35 60 5 0 0
5.4 35 60 5 0 0
5.5 35 60 5 0 0
5.5 35 60 5 0 0
5.5 35 60 5 0 0
5.5 35 60 5 0 0
5.6 35 60 5 0 0
5.6 35 60 5 0 0
5.6 35 60 5 0 0
5.6 35 60 5 0 0
5.7 35 60 5 0 0
5.7 35 60 5 0 0
5.7 35 60 5 0 0
5.7 35 60 5 0 0
5.8 35 60 5 0 0
5.8 35 60 5 0 0
5.8 35 60 5 0 0
5.8 34 61 5 0 0
5.9 34 61 5 0 0
5.9 34 61 5 0 0
5.9 34 61 5 0 0
5.9 34 61 5 0 0
6.0 34 61 5 0 0
6.0 34 61 5 0 0
6.0 34 61 5 0 0
6.0 34 61 5 0 0
6.1 33 62 5 0 0
6.1 33 62 5 0 0
6.1 32 63 5 0 0
6.1 32 63 5 0 0
6.2 32 63 5 0 0
6.2 32 63 5 0 0
6.2 32 63 5 0 0
