t 211Pb 211Bi 207Tl 207Pb
6.6 88 6 2 4
6.6 88 6 2 4
6.6 88 6 2 4
6.6 88 6 2 4
6.7 88 6 2 4
6.7 88 6 2 4
6.7 88 6 2 4
6.7 88 6 2 4
6.8 88 6 2 4
6.8 88 6 2 4
6.8 88 6 2 4
6.8 88 6 2 4
6.9 88 6 2 4
6.9 88 5 3 4
6.9 88 5 2 5
6.9 87 6 2 5
7.0 87 6 2 5
7.0 87 6 2 5
7.0 87 6 2 5
7.0 87 6 2 5
7.1 87 6 2 5
7.1 87 6 2 5
7.1 87 6 2 5
7.1 87 5 3 5
7.2 87 5 3 5
7.2 87 5 3 5
7.2 87 5 3 5
7.2 87 5 3 5
7.3 87 5 3 5
7.3 87 5 3 5
7.3 87 5 3 5
7.3 87 5 3 5
7.4 87 5 3 5
7.4 87 5 3 5
7.4 87 5 3 5
7.4 87 5 3 5
7.5 87 5 3 5
7.5 87 5 3 5
7.5 87 5 3 5
7.5 87 5 3 5
7.6 87 5 3 5
7.6 87 5 3 5
7.6 87 5 3 5
7.6 87 5 3 5
7.7 87 5 3 5
7.7 87 5 3 5
7.7 87 5 3 5
7.7 87 5 3 5
7.8 87 5 3 5
7.8 87 5 3 5
7.8 87 5 3 5
7.8 87 5 3 5
7.9 87 5 3 5
7.9 86 6 3 5
7.9 86 6 3 5
7.9 86 6 3 5
8.0 86 6 3 5
8.0 86 6 3 5
8.0 86 6 3 5
8.0 86 6 3 5
8.1 86 6 3 5
8.1 85 7 3 5
8.1 85 7 3 5
8.1 85 7 3 5
8.2 84 8 3 5
8.2 84 8 3 5
8.2 84 8 3 5
8.2 84 8 3 5
8.3 84 8 3 5
8.3 84 8 3 5
8.3 84 8 3 5
8.3 84 8 3 5
8.4 84 8 3 5
8.4 84 8 3 5
8.4 84 8 3 5
8.4 84 8 3 5
8.5 84 8 3 5
8.5 84 8 3 5
8.5 84 8 3 5
8.5 84 8 3 5
8.6 83 9 3 5
8.6 83 9 3 5
8.6 83 9 3 5
8.6 83 9 3 5
8.7 83 9 3 5
8.7 83 9 3 5
8.7 83 9 3 5
8.7 83 9 3 5
8.8 83 9 3 5
8.8 83 9 3 5
8.8 83 9 3 5
8.8 83 9 3 5
8.9 83 9 3 5
8.9 83 9 3 5
8.9 83 9 3 5
8.9 83 9 3 5
9.0 83 9 3 5
9.0 83 9 3 5
9.0 83 8 4 5
9.0 83 7 5 5
9.1 83 7 5 5
9.1 83 7 5 5
9.1 83 7 5 5
9.1 82 8 5 5
9.2 82 8 5 5
9.2 82 8 5 5
9.2 82 8 5 5
9.2 82 8 5 5
9.3 82 7 6 5
9.3 82 7 5 6
9.3 82 7 5 6
9.3 82 7 5 6
9.4 82 7 5 6
9.4 82 7 5 6
9.4 82 7 5 6
9.4 82 7 5 6
9.5 82 7 5 6
9.5 82 7 5 6
9.5 82 7 5 6
9.5 82 6 6 6
9.6 82 6 6 6
9.6 82 6 6 6
9.6 82 6 6 6
9.6 82 6 6 6
9.7 81 7 6 6
9.7 81 6 7 6
9.7 81 6 7 6
9.7 81 6 7 6
9.8 81 6 7 6
9.8 81 6 7 6
9.8 81 6 7 6
9.8 81 6 7 6
9.9 81 5 8 6
9.9 81 5 8 6
9.9 81 5 8 6
9.9 80 6 8 6
10.0 80 6 8 6
10.0 80 6 8 6
10.0 80 6 8 6
10.0 80 6 8 6
10.1 80 6 8 6
10.1 80 6 8 6
10.1 80 6 8 6
10.1 80 6 8 6
10.2 80 6 8 6
10.2 80 6 8 6
10.2 80 6 8 6
10.2 80 6 8 6
10.3 80 6 8 6
10.3 80 6 7 7
10.3 80 6 7 7
10.3 80 6 7 7
10.4 80 6 7 7
10.4 80 5 8 7
10.4 80 5 8 7
10.4 80 5 8 7
10.5 80 5 8 7
10.5 80 5 8 7
10.5 80 5 8 7
10.5 80 5 8 7
10.6 80 4 9 7
10.6 80 4 9 7
10.6 80 4 9 7
10.6 80 4 9 7
10.7 80 4 9 7
10.7 80 4 9 7
10.7 80 4 9 7
10.7 80 4 9 7
10.8 79 4 10 7
10.8 79 4 10 7
10.8 79 4 10 7
10.8 79 4 9 8
10.9 79 4 9 8
10.9 79 4 9 8
10.9 79 4 9 8
10.9 79 4 9 8
11.0 79 4 9 8
11.0 79 4 9 8
11.0 79 3 10 8
11.0 79 3 10 8
11.1 79 3 10 8
11.1 79 3 10 8
11.1 79 3 10 8
11.1 79 3 10 8
11.2 79 3 10 8
11.2 79 3 10 8
11.2 79 3 10 8
11.2 79 3 9 9
11.3 79 3 9 9
11.3 79 3 9 9
11.3 79 3 9 9
11.3 79 3 9 9
11.4 79 3 9 9
11.4 79 3 9 9
11.4 79 3 9 9
11.4 79 3 9 9
11.5 79 3 9 9
11.5 79 3 9 9
11.5 79 3 9 9
11.5 79 3 9 9
11.6 79 2 10 9
11.6 79 2 10 9
11.6 79 2 10 9
11.6 79 2 10 9
11.7 79 2 10 9
11.7 79 2 10 9
11.7 79 2 10 9
11.7 79 2 10 9
11.8 79 2 10 9
11.8 79 2 10 9
11.8 79 2 10 9
11.8 79 2 10 9
11.9 79 2 10 9
11.9 79 2 10 9
11.9 79 2 10 9
11.9 79 2 10 9
12.0 79 2 10 9
12.0 79 2 9 10
12.0 79 2 9 10
12.0 79 2 9 10
12.1 79 2 9 10
12.1 79 2 9 10
12.1 79 2 9 10
12.1 79 2 9 10
12.2 79 2 9 10
12.2 79 2 7 12
12.2 79 2 7 12
12.2 79 2 7 12
12.3 79 2 7 12
12.3 79 2 7 12
12.3 79 2 7 12
12.3 79 2 7 12
12.4 79 2 7 12
12.4 79 2 7 12
12.4 79 2 7 12
12.4 79 2 7 12
12.5 79 2 7 12
12.5 79 2 7 12
12.5 79 2 7 12
12.5 79 2 7 12
12.6 79 2 7 12
12.6 79 2 6 13
12.6 79 2 6 13
12.6 79 2 6 13
12.7 79 2 6 13
12.7 79 2 6 13
12.7 79 2 5 14
12.7 79 2 5 14
12.8 79 2 5 14
12.8 79 2 5 14
12.8 79 1 6 14
12.8 78 2 6 14
12.9 78 2 6 14
12.9 78 2 6 14
12.9 78 2 6 14
12.9 78 2 6 14
13.0 78 2 6 14
13.0 78 2 6 14
13.0 78 2 6 14
13.0 78 2 6 14
13.1 78 2 6 14
13.1 78 2 6 14
13.1 78 2 6 14
13.1 78 2 6 14
13.2 78 2 6 14
13.2 78 2 6 14
13.2 78 2 6 14
13.2 78 2 6 14
13.3 78 2 6 14
13.3 78 2 6 14
13.3 78 2 6 14
13.3 78 2 6 14
13.4 78 2 6 14
13.4 78 2 6 14
13.4 78 2 6 14
13.4 78 2 6 14
13.5 78 2 6 14
13.5 78 2 6 14
13.5 78 2 6 14
13.5 78 1 7 14
13.6 78 1 7 14
13.6 78 1 7 14
13.6 78 1 7 14
13.6 78 1 7 14
13.7 78 1 7 14
13.7 78 1 7 14
13.7 78 1 7 14
13.7 78 1 7 14
13.8 78 1 7 14
13.8 78 1 7 14
13.8 78 1 7 14
13.8 78 1 7 14
13.9 78 1 7 14
13.9 78 1 7 14
13.9 77 2 7 14
13.9 77 2 7 14
14.0 77 2 7 14
14.0 77 2 7 14
14.0 77 2 6 15
14.0 77 2 6 15
14.1 77 2 6 15
14.1 77 2 6 15
14.1 77 2 6 15
14.1 77 2 6 15
14.2 77 2 6 15
14.2 77 2 6 15
14.2 77 2 6 15
14.2 77 2 6 15
14.3 77 2 6 15
14.3 77 2 6 15
14.3 77 2 6 15
14.3 77 2 6 15
14.4 77 2 6 15
14.4 77 2 6 15
14.4 76 3 6 15
14.4 76 3 6 15
14.5 76 3 6 15
14.5 75 4 6 15
14.5 75 4 6 15
14.5 75 4 6 15
14.6 75 4 6 15
14.6 75 4 6 15
14.6 75 4 6 15
14.6 75 4 6 15
14.7 75 4 6 15
14.7 75 4 6 15
14.7 75 4 6 15
14.7 75 4 6 15
14.8 75 4 6 15
14.8 75 4 6 15
14.8 75 4 6 15
14.8 75 4 6 15
14.9 75 4 6 15
14.9 75 4 6 15
14.9 75 4 6 15
14.9 75 4 6 15
15.0 75 4 6 15
15.0 75 4 6 15
15.0 75 4 6 15
15.0 75 4 6 15
15.1 75 4 6 15
15.1 75 4 6 15
15.1 75 3 7 15
15.1 75 3 7 15
15.2 75 3 7 15
15.2 75 3 7 15
15.2 75 3 7 15
15.2 75 3 7 15
15.3 75 3 7 15
15.3 75 3 7 15
15.3 74 4 7 15
15.3 74 4 7 15
15.4 74 4 7 15
15.4 74 4 7 15
15.4 73 5 7 15
15.4 72 6 7 15
15.5 72 6 7 15
15.5 72 5 8 15
15.5 72 5 8 15
15.5 72 5 8 15
15.6 72 5 8 15
15.6 72 5 8 15
15.6 72 5 8 15
15.6 72 5 8 15
15.7 72 5 8 15
15.7 72 5 8 15
15.7 72 5 8 15
15.7 72 5 8 15
15.8 72 5 8 15
15.8 71 6 8 15
15.8 71 6 8 15
15.8 71 6 8 15
15.9 71 6 8 15
15.9 71 6 7 16
15.9 71 6 7 16
15.9 71 6 7 16
16.0 71 6 7 16
16.0 71 6 6 17
16.0 71 6 6 17
16.0 71 6 6 17
16.1 71 6 6 17
16.1 71 6 6 17
16.1 71 6 6 17
16.1 71 6 6 17
16.2 71 6 6 17
16.2 69 8 6 17
16.2 69 8 6 17
16.2 69 8 6 17
16.3 68 9 6 17
16.3 68 9 6 17
16.3 68 9 6 17
16.3 68 9 6 17
16.4 68 9 6 17
16.4 68 9 6 17
16.4 68 9 6 17
16.4 68 9 6 17
16.5 68 9 6 17
16.5 67 10 6 17
16.5 67 10 6 17
16.5 67 10 6 17
16.6 67 10 6 17
16.6 67 10 6 17
16.6 67 10 6 17
16.6 67 10 6 17
16.7 67 10 6 17
16.7 67 10 6 17
16.7 67 10 6 17
16.7 67 10 6 17
16.8 67 10 6 17
16.8 67 10 6 17
16.8 66 11 6 17
16.8 66 10 7 17
16.9 66 10 7 17
16.9 66 10 7 17
16.9 66 10 7 17
16.9 66 10 7 17
17.0 66 10 7 17
17.0 66 9 8 17
17.0 66 9 8 17
17.0 66 9 8 17
17.1 66 9 8 17
17.1 66 9 8 17
17.1 66 9 8 17
17.1 66 9 8 17
17.2 66 9 8 17
17.2 66 9 8 17
17.2 66 9 8 17
17.2 66 9 8 17
17.3 66 9 8 17
17.3 66 8 9 17
17.3 66 8 8 18
17.3 66 8 8 18
17.4 66 8 8 18
17.4 66 8 8 18
17.4 66 8 8 18
17.4 66 8 8 18
17.5 66 8 8 18
17.5 66 8 8 18
17.5 66 8 8 18
17.5 66 8 8 18
17.6 66 8 8 18
17.6 66 8 8 18
17.6 66 8 8 18
17.6 66 8 8 18
17.7 66 8 8 18
17.7 66 8 8 18
17.7 66 8 8 18
17.7 65 9 8 18
17.8 65 9 8 18
17.8 65 8 9 18
17.8 65 8 9 18
17.8 65 8 9 18
17.9 65 7 10 18
17.9 65 7 10 18
17.9 65 7 10 18
17.9 65 7 10 18
18.0 65 7 10 18
18.0 65 7 10 18
18.0 65 7 10 18
18.0 65 7 10 18
18.1 65 7 10 18
18.1 65 7 10 18
18.1 65 7 9 19
18.1 65 7 9 19
18.2 65 7 9 19
18.2 65 7 9 19
18.2 65 7 9 19
18.2 65 7 9 19
18.3 65 7 9 19
18.3 65 7 9 19
18.3 65 7 9 19
18.3 65 6 10 19
18.4 65 6 10 19
18.4 65 6 10 19
18.4 65 6 10 19
18.4 65 6 10 19
18.5 65 6 10 19
18.5 65 6 9 20
18.5 65 6 9 20
18.5 65 6 9 20
18.6 65 6 9 20
18.6 65 6 9 20
18.6 65 6 9 20
18.6 65 6 9 20
18.7 65 6 8 21
18.7 65 6 8 21
18.7 65 6 8 21
18.7 65 6 8 21
18.8 65 6 8 21
18.8 65 6 8 21
18.8 65 6 8 21
18.8 65 6 8 21
18.9 65 6 8 21
18.9 65 6 8 21
18.9 64 7 8 21
18.9 64 7 8 21
19.0 64 6 9 21
19.0 64 6 9 21
19.0 63 7 9 21
19.0 63 7 9 21
19.1 63 7 9 21
19.1 63 7 9 21
19.1 63 7 9 21
19.1 63 7 9 21
19.2 63 6 10 21
19.2 62 6 11 21
19.2 62 6 11 21
19.2 62 6 11 21
19.3 62 6 11 21
19.3 62 6 11 21
19.3 62 6 11 21
19.3 62 6 11 21
19.4 62 6 11 21
19.4 62 6 11 21
19.4 62 6 11 21
19.4 62 6 11 21
19.5 62 6 11 21
19.5 61 7 11 21
19.5 61 6 12 21
19.5 61 6 12 21
19.6 60 7 12 21
