t 218Po 214Pb 214Bi 214Po 210Pb
0.0 100 0 0 0 0
0.1 97 3 0 0 0
0.2 95 5 0 0 0
0.3 94 6 0 0 0
0.4 94 6 0 0 0
0.5 93 7 0 0 0
0.6 88 12 0 0 0
0.7 88 12 0 0 0
0.8 85 15 0 0 0
0.9 84 16 0 0 0
1.0 84 16 0 0 0
1.1 83 17 0 0 0
1.2 80 20 0 0 0
1.3 77 23 0 0 0
1.4 72 28 0 0 0
1.5 69 31 0 0 0
1.6 69 31 0 0 0
1.7 67 32 1 0 0
1.8 65 34 1 0 0
1.9 61 38 1 0 0
2.0 60 39 1 0 0
2.1 59 40 1 0 0
2.2 58 41 1 0 0
2.3 57 42 1 0 0
2.4 56 43 1 0 0
2.5 56 43 1 0 0
2.6 55 44 1 0 0
2.7 53 46 1 0 0
2.8 53 46 1 0 0
2.9 50 48 2 0 0
3.0 49 49 2 0 0
3.1 48 50 2 0 0
3.2 46 52 2 0 0
3.3 46 52 2 0 0
3.4 45 53 2 0 0
3.5 43 55 2 0 0
3.6 41 57 2 0 0
3.7 41 57 2 0 0
3.8 40 58 2 0 0
3.9 39 59 2 0 0
4.0 39 57 4 0 0
4.1 38 58 4 0 0
4.2 37 59 4 0 0
4.3 36 60 4 0 0
4.4 35 61 4 0 0
4.5 35 61 4 0 0
4.6 33 63 4 0 0
4.7 31 65 4 0 0
4.8 30 66 4 0 0
4.9 30 66 4 0 0
5.0 30 66 4 0 0
5.1 26 69 5 0 0
5.2 25 70 5 0 0
5.3 24 70 6 0 0
5.4 23 71 6 0 0
5.5 23 71 6 0 0
5.6 22 71 7 0 0
5.7 22 71 7 0 0
5.8 22 71 7 0 0
5.9 22 71 7 0 0
6.0 22 71 7 0 0
6.1 20 73 7 0 0
6.2 20 72 8 0 0
6.3 19 73 8 0 0
6.4 19 73 8 0 0
6.5 18 74 8 0 0
6.6 17 75 8 0 0
6.7 17 75 8 0 0
6.8 17 75 8 0 0
6.9 17 75 8 0 0
7.0 17 75 8 0 0
7.1 16 76 8 0 0
7.2 16 76 8 0 0
7.3 16 76 8 0 0
7.4 15 77 8 0 0
7.5 14 78 8 0 0
7.6 13 79 8 0 0
7.7 13 79 8 0 0
7.8 13 77 10 0 0
7.9 11 79 10 0 0
8.0 11 79 10 0 0
8.1 11 79 10 0 0
8.2 11 79 10 0 0
8.3 11 78 11 0 0
8.4 11 78 11 0 0
8.5 11 78 11 0 0
8.6 9 80 11 0 0
8.7 9 80 11 0 0
8.8 9 80 11 0 0
8.9 9 79 12 0 0
9.0 9 79 12 0 0
9.1 9 79 12 0 0
9.2 9 79 12 0 0
9.3 9 79 12 0 0
9.4 9 79 12 0 0
9.5 8 80 12 0 0
9.6 8 80 11 0 1
9.7 8 80 11 0 1
9.8 8 80 11 0 1
9.9 8 80 11 0 1
10.0 8 80 11 0 1
10.1 8 80 11 0 1
10.2 8 80 11 0 1
10.3 8 80 11 0 1
10.4 7 81 11 0 1
10.5 7 81 11 0 1
10.6 7 81 11 0 1
10.7 7 80 11 0 2
10.8 7 80 11 0 2
10.9 6 80 12 0 2
11.0 6 80 12 0 2
11.1 6 80 12 0 2
11.2 6 80 12 0 2
11.3 6 79 13 0 2
11.4 6 78 14 0 2
11.5 6 78 14 0 2
11.6 6 78 14 0 2
11.7 6 77 13 0 4
11.8 6 77 13 0 4
11.9 5 78 13 0 4
12.0 5 78 13 0 4
12.1 5 78 13 0 4
12.2 5 78 13 0 4
12.3 5 78 13 0 4
12.4 4 79 13 0 4
12.5 4 79 13 0 4
12.6 4 79 13 0 4
12.7 4 79 13 0 4
12.8 4 79 13 0 4
12.9 4 79 13 0 4
13.0 4 79 13 0 4
13.1 4 79 13 0 4
13.2 4 79 13 0 4
13.3 4 79 13 0 4
13.4 4 79 13 0 4
13.5 4 79 13 0 4
13.6 4 79 12 0 5
13.7 4 79 12 0 5
13.8 4 78 13 0 5
13.9 4 78 13 0 5
14.0 3 79 13 0 5
14.1 3 79 13 0 5
14.2 3 79 13 0 5
14.3 3 79 13 0 5
14.4 3 79 13 0 5
14.5 3 79 13 0 5
14.6 3 79 13 0 5
14.7 3 79 13 0 5
14.8 3 79 13 0 5
14.9 3 79 13 0 5
15.0 3 79 13 0 5
15.1 3 79 13 0 5
15.2 3 78 14 0 5
15.3 2 78 15 0 5
15.4 2 78 15 0 5
15.5 2 78 15 0 5
15.6 2 78 15 0 5
15.7 2 78 15 0 5
15.8 2 78 15 0 5
15.9 2 78 15 0 5
16.0 2 77 16 0 5
16.1 2 77 16 0 5
16.2 2 77 16 0 5
16.3 2 77 16 0 5
16.4 2 77 16 0 5
16.5 2 77 16 0 5
16.6 2 77 16 0 5
16.7 2 77 16 0 5
16.8 2 76 17 0 5
16.9 2 76 17 0 5
17.0 2 76 16 0 6
17.1 2 76 16 0 6
17.2 2 76 16 0 6
17.3 2 76 16 0 6
17.4 1 76 17 0 6
17.5 1 76 17 0 6
17.6 1 76 17 0 6
17.7 1 76 17 0 6
17.8 1 76 17 0 6
17.9 1 76 17 0 6
18.0 1 76 17 0 6
18.1 1 76 17 0 6
18.2 1 75 18 0 6
18.3 1 75 18 0 6
18.4 1 74 19 0 6
18.5 1 73 20 0 6
18.6 1 73 20 0 6
18.7 1 72 21 0 6
18.8 1 72 21 0 6
