t 218Po 214Pb 214Bi 214Po 210Pb
0.0 100 0 0 0 0
0.1 97 3 0 0 0
0.2 95 5 0 0 0
0.3 95 5 0 0 0
0.4 91 9 0 0 0
0.5 85 15 0 0 0
0.6 84 16 0 0 0
0.7 82 18 0 0 0
0.8 81 19 0 0 0
0.9 80 20 0 0 0
1.0 78 22 0 0 0
1.1 75 25 0 0 0
1.2 74 26 0 0 0
1.3 73 27 0 0 0
1.4 70 30 0 0 0
1.5 69 31 0 0 0
1.6 68 32 0 0 0
1.7 67 33 0 0 0
1.8 67 33 0 0 0
1.9 66 34 0 0 0
2.0 63 37 0 0 0
2.1 63 36 1 0 0
2.2 62 37 1 0 0
2.3 62 37 1 0 0
2.4 62 37 1 0 0
2.5 60 39 1 0 0
2.6 60 39 1 0 0
2.7 59 40 1 0 0
2.8 58 41 1 0 0
2.9 57 42 1 0 0
3.0 56 43 1 0 0
3.1 54 45 1 0 0
3.2 52 47 1 0 0
3.3 51 48 1 0 0
3.4 49 49 2 0 0
3.5 48 50 2 0 0
3.6 47 51 2 0 0
3.7 46 52 2 0 0
3.8 45 53 2 0 0
3.9 44 54 2 0 0
4.0 44 54 2 0 0
4.1 41 57 2 0 0
4.2 41 57 2 0 0
4.3 38 60 2 0 0
4.4 38 60 2 0 0
4.5 36 62 2 0 0
4.6 35 63 2 0 0
4.7 34 64 2 0 0
4.8 32 66 2 0 0
4.9 31 67 2 0 0
5.0 31 67 2 0 0
5.1 31 67 2 0 0
5.2 31 67 2 0 0
5.3 31 67 2 0 0
5.4 30 68 2 0 0
5.5 30 68 2 0 0
5.6 28 70 2 0 0
5.7 28 69 3 0 0
5.8 27 70 3 0 0
5.9 27 70 3 0 0
6.0 27 70 3 0 0
6.1 25 72 3 0 0
6.2 22 75 3 0 0
6.3 21 76 3 0 0
6.4 20 77 3 0 0
6.5 19 78 2 0 1
6.6 19 78 2 0 1
6.7 19 78 2 0 1
6.8 19 78 2 0 1
6.9 19 76 4 0 1
7.0 19 76 4 0 1
7.1 19 76 4 0 1
7.2 19 76 4 0 1
7.3 19 76 4 0 1
7.4 18 77 4 0 1
7.5 17 77 5 0 1
7.6 17 77 5 0 1
7.7 17 77 5 0 1
7.8 17 77 5 0 1
7.9 16 78 5 0 1
8.0 16 78 5 0 1
8.1 16 77 6 0 1
8.2 15 77 7 0 1
8.3 14 78 7 0 1
8.4 13 79 7 0 1
8.5 13 79 7 0 1
8.6 13 78 8 0 1
8.7 13 78 8 0 1
8.8 13 78 8 0 1
8.9 13 77 9 0 1
9.0 13 77 9 0 1
9.1 11 79 9 0 1
9.2 10 80 9 0 1
9.3 10 80 9 0 1
9.4 10 80 9 0 1
9.5 10 80 9 0 1
9.6 10 80 9 0 1
9.7 10 80 9 0 1
9.8 10 80 9 0 1
9.9 10 80 9 0 1
10.0 10 80 9 0 1
10.1 10 80 9 0 1
10.2 10 80 9 0 1
10.3 10 80 9 0 1
10.4 8 82 9 0 1
10.5 8 82 9 0 1
10.6 8 81 10 0 1
10.7 8 80 11 0 1
10.8 8 80 11 0 1
10.9 8 80 11 0 1
11.0 8 79 12 0 1
11.1 8 79 12 0 1
11.2 8 78 13 0 1
11.3 8 78 13 0 1
11.4 8 78 13 0 1
11.5 8 78 13 0 1
11.6 8 77 14 0 1
11.7 8 77 14 0 1
11.8 8 77 14 0 1
11.9 7 78 14 0 1
12.0 7 78 14 0 1
12.1 5 80 13 0 2
12.2 5 80 13 0 2
12.3 5 80 13 0 2
12.4 5 80 13 0 2
12.5 4 80 13 0 3
12.6 4 78 15 0 3
12.7 4 78 15 0 3
12.8 4 78 15 0 3
12.9 4 78 15 0 3
13.0 4 78 15 0 3
13.1 4 77 16 0 3
13.2 4 76 17 0 3
13.3 4 76 17 0 3
13.4 4 76 17 0 3
13.5 4 76 17 0 3
13.6 4 76 17 0 3
13.7 4 75 18 0 3
13.8 4 75 18 0 3
13.9 4 75 18 0 3
14.0 4 75 18 0 3
14.1 4 74 19 0 3
14.2 4 74 19 0 3
14.3 4 74 19 0 3
14.4 4 74 19 0 3
14.5 3 74 20 0 3
14.6 3 72 22 0 3
14.7 3 72 22 0 3
14.8 3 72 22 0 3
14.9 3 71 23 0 3
15.0 3 71 23 0 3
15.1 3 71 23 0 3
15.2 3 71 23 0 3
15.3 3 71 23 0 3
15.4 3 71 23 0 3
15.5 3 71 23 0 3
15.6 3 71 23 0 3
15.7 2 72 23 0 3
15.8 2 72 23 0 3
15.9 2 72 23 0 3
16.0 2 72 23 0 3
16.1 2 72 23 0 3
16.2 2 72 23 0 3
16.3 2 72 22 0 4
16.4 2 72 22 0 4
16.5 2 72 22 0 4
16.6 2 72 22 0 4
16.7 2 70 24 0 4
16.8 2 70 24 0 4
16.9 2 70 24 0 4
17.0 2 69 25 0 4
17.1 2 69 25 0 4
17.2 2 69 24 0 5
17.3 2 69 24 0 5
17.4 2 69 24 0 5
17.5 2 69 24 0 5
17.6 2 67 26 0 5
17.7 1 68 26 0 5
17.8 1 68 25 0 6
17.9 1 68 25 0 6
18.0 1 68 25 0 6
18.1 1 68 25 0 6
18.2 1 68 25 0 6
18.3 1 68 24 0 7
18.4 1 68 24 0 7
18.5 1 68 24 0 7
18.6 1 68 24 0 7
18.7 1 68 24 0 7
18.8 1 67 25 0 7
